,ENTIDAD,AÃ±o,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
192,Jililí,2003,JUNIO,28.599,35.345,21.853
193,Lagunas,2003,JUNIO,16.572,22.879,10.265
194,Montero,2003,JUNIO,26.694,32.755,20.634
195,Pacaipampa,2003,JUNIO,30.014,36.672,23.356
196,Paimas,2003,JUNIO,21.215,29.037,13.394
197,Sapillica,2003,JUNIO,23.897,30.882,16.911
198,Paita,2003,JULIO,20.201,27.405,12.997
199,Amotape,2003,JULIO,25.092,33.818,16.365
200,Colán,2003,JULIO,27.633,35.155,20.111
201,El Arenal,2003,JULIO,27.531,33.973,21.089
202,La Huaca,2003,JULIO,26.155,33.466,18.843
203,Tamarindo,2003,JULIO,27.751,33.816,21.687
204,Vichayal,2003,JULIO,24.681,30.759,18.603
205,Chulucanas,2003,JULIO,24.912,32.847,16.977
206,Buenos Aires,2003,JULIO,16.963,23.180,10.746
207,Chalaco,2003,JULIO,21.563,29.183,13.944
208,La Matanza,2003,JULIO,19.530,26.497,12.564
209,Morropón,2003,JULIO,25.378,31.640,19.115
210,Salitral,2003,JULIO,18.234,25.051,11.418
211,San Juan de Bigote,2003,JULIO,22.307,28.771,15.843
212,Santa Catalina de Mossa,2003,JULIO,15.749,22.466,9.032
213,Santo Domingo,2003,JULIO,18.785,25.222,12.348
214,Yamango,2003,JULIO,22.115,28.373,15.856
215,Huancabamba,2003,JULIO,26.738,33.566,19.909
216,Canchaque,2003,JULIO,19.294,27.334,11.253
217,El Carmen de la Frontera,2003,JULIO,23.090,29.945,16.234
218,Huarmaca,2003,JULIO,18.764,24.190,13.339
219,Lalaquiz,2003,JULIO,21.002,27.772,14.232
220,San Miguel de El Faique,2003,JULIO,27.200,32.874,21.527
221,Sondor,2003,JULIO,23.519,29.908,17.130
222,Sondorillo,2003,JULIO,30.021,36.553,23.488
223,Ayabaca,2003,JULIO,30.989,39.152,22.826
224,Frías,2003,JULIO,28.408,34.143,22.672
225,Jililí,2003,JULIO,26.710,32.706,20.713
226,Lagunas,2003,JULIO,15.408,22.930,7.886
227,Montero,2003,JULIO,25.311,31.174,19.448
228,Pacaipampa,2003,JULIO,27.642,33.249,22.036
229,Paimas,2003,JULIO,19.078,25.709,12.447
230,Sapillica,2003,JULIO,23.367,30.088,16.646
231,Paita,2003,AGOSTO,19.407,26.503,12.311
232,Amotape,2003,AGOSTO,26.114,34.337,17.891
233,Colán,2003,AGOSTO,28.292,35.490,21.094
234,El Arenal,2003,AGOSTO,27.229,33.690,20.767
235,La Huaca,2003,AGOSTO,26.182,33.968,18.397
236,Tamarindo,2003,AGOSTO,27.174,33.119,21.229
237,Vichayal,2003,AGOSTO,24.724,30.794,18.653
238,Chulucanas,2003,AGOSTO,24.926,32.734,17.119
239,Buenos Aires,2003,AGOSTO,16.646,22.701,10.590
240,Chalaco,2003,AGOSTO,21.526,29.403,13.649
241,La Matanza,2003,AGOSTO,19.219,26.332,12.107
242,Morropón,2003,AGOSTO,25.074,31.121,19.026
243,Salitral,2003,AGOSTO,18.161,25.140,11.182
244,San Juan de Bigote,2003,AGOSTO,21.905,28.185,15.624
245,Santa Catalina de Mossa,2003,AGOSTO,15.677,22.595,8.759
246,Santo Domingo,2003,AGOSTO,18.473,25.018,11.927
247,Yamango,2003,AGOSTO,21.912,28.771,15.054
248,Huancabamba,2003,AGOSTO,26.341,32.651,20.030
249,Canchaque,2003,AGOSTO,18.772,27.092,10.452
250,El Carmen de la Frontera,2003,AGOSTO,23.546,30.510,16.582
251,Huarmaca,2003,AGOSTO,18.904,24.422,13.386
252,Lalaquiz,2003,AGOSTO,20.978,27.836,14.120
253,San Miguel de El Faique,2003,AGOSTO,27.176,33.205,21.147
254,Sondor,2003,AGOSTO,23.860,30.816,16.904
255,Sondorillo,2003,AGOSTO,29.413,35.651,23.176
256,Ayabaca,2003,AGOSTO,29.940,37.493,22.387
257,Frías,2003,AGOSTO,28.311,34.099,22.522
258,Jililí,2003,AGOSTO,27.192,33.442,20.941
259,Lagunas,2003,AGOSTO,15.613,23.231,7.994
260,Montero,2003,AGOSTO,25.396,31.373,19.420
261,Pacaipampa,2003,AGOSTO,28.180,34.497,21.863
262,Paimas,2003,AGOSTO,18.927,25.911,11.943
263,Sapillica,2003,AGOSTO,23.287,30.067,16.508
264,Paita,2003,SEPTIEMBRE,19.294,25.629,12.959
265,Amotape,2003,SEPTIEMBRE,24.597,32.756,16.438
266,Colán,2003,SEPTIEMBRE,27.213,33.871,20.554
267,El Arenal,2003,SEPTIEMBRE,27.245,33.513,20.976
268,La Huaca,2003,SEPTIEMBRE,24.430,30.965,17.894
269,Tamarindo,2003,SEPTIEMBRE,27.168,32.704,21.632
270,Vichayal,2003,SEPTIEMBRE,24.640,30.667,18.613
271,Chulucanas,2003,SEPTIEMBRE,22.578,29.521,15.635
272,Buenos Aires,2003,SEPTIEMBRE,16.746,22.373,11.118
273,Chalaco,2003,SEPTIEMBRE,20.049,26.892,13.206
274,La Matanza,2003,SEPTIEMBRE,19.374,25.832,12.916
275,Morropón,2003,SEPTIEMBRE,25.258,31.058,19.459
276,Salitral,2003,SEPTIEMBRE,18.342,24.378,12.305
277,San Juan de Bigote,2003,SEPTIEMBRE,21.850,27.605,16.094
278,Santa Catalina de Mossa,2003,SEPTIEMBRE,16.247,22.406,10.087
279,Santo Domingo,2003,SEPTIEMBRE,18.844,24.885,12.803
280,Yamango,2003,SEPTIEMBRE,21.584,27.647,15.522
281,Huancabamba,2003,SEPTIEMBRE,26.081,31.915,20.248
282,Canchaque,2003,SEPTIEMBRE,17.843,25.053,10.633
283,El Carmen de la Frontera,2003,SEPTIEMBRE,23.548,29.994,17.101
284,Huarmaca,2003,SEPTIEMBRE,18.508,23.182,13.834
285,Lalaquiz,2003,SEPTIEMBRE,20.631,26.323,14.938
286,San Miguel de El Faique,2003,SEPTIEMBRE,27.123,33.052,21.195
287,Sondor,2003,SEPTIEMBRE,23.302,29.288,17.317
288,Sondorillo,2003,SEPTIEMBRE,28.707,34.506,22.909
289,Ayabaca,2003,SEPTIEMBRE,28.633,36.506,20.760
290,Frías,2003,SEPTIEMBRE,28.646,34.257,23.034
291,Jililí,2003,SEPTIEMBRE,26.308,31.814,20.802
292,Lagunas,2003,SEPTIEMBRE,15.868,22.435,9.301
293,Montero,2003,SEPTIEMBRE,25.171,30.700,19.642
294,Pacaipampa,2003,SEPTIEMBRE,28.222,33.939,22.505
295,Paimas,2003,SEPTIEMBRE,18.585,24.731,12.439
296,Sapillica,2003,SEPTIEMBRE,22.895,29.075,16.715
297,Paita,2003,OCTUBRE,17.187,25.197,9.176
298,Amotape,2003,OCTUBRE,19.608,28.923,10.293
299,Colán,2003,OCTUBRE,25.063,32.484,17.641
300,El Arenal,2003,OCTUBRE,25.885,31.583,20.187
301,La Huaca,2003,OCTUBRE,20.824,28.038,13.609
302,Tamarindo,2003,OCTUBRE,26.092,31.939,20.244
303,Vichayal,2003,OCTUBRE,24.187,29.837,18.537
304,Chulucanas,2003,OCTUBRE,18.550,26.351,10.749
305,Buenos Aires,2003,OCTUBRE,16.187,22.192,10.182
306,Chalaco,2003,OCTUBRE,17.973,25.779,10.168
307,La Matanza,2003,OCTUBRE,18.176,25.593,10.760
308,Morropón,2003,OCTUBRE,24.771,30.824,18.717
309,Salitral,2003,OCTUBRE,16.673,23.264,10.082
310,San Juan de Bigote,2003,OCTUBRE,20.374,27.335,13.414
311,Santa Catalina de Mossa,2003,OCTUBRE,15.473,22.520,8.427
312,Santo Domingo,2003,OCTUBRE,17.730,24.479,10.981
313,Yamango,2003,OCTUBRE,21.411,27.930,14.893
314,Huancabamba,2003,OCTUBRE,25.131,32.422,17.841
315,Canchaque,2003,OCTUBRE,16.301,24.153,8.450
316,El Carmen de la Frontera,2003,OCTUBRE,22.995,29.251,16.738
317,Huarmaca,2003,OCTUBRE,17.325,21.978,12.671
318,Lalaquiz,2003,OCTUBRE,18.400,24.930,11.871
319,San Miguel de El Faique,2003,OCTUBRE,26.479,32.058,20.900
320,Sondor,2003,OCTUBRE,21.147,27.791,14.502
321,Sondorillo,2003,OCTUBRE,27.438,34.349,20.527
322,Ayabaca,2003,OCTUBRE,25.417,34.104,16.730
323,Frías,2003,OCTUBRE,26.911,31.468,22.354
324,Jililí,2003,OCTUBRE,23.688,29.422,17.954
325,Lagunas,2003,OCTUBRE,14.835,22.340,7.331
326,Montero,2003,OCTUBRE,23.586,28.649,18.523
327,Pacaipampa,2003,OCTUBRE,26.954,32.534,21.374
328,Paimas,2003,OCTUBRE,16.429,24.146,8.711
329,Sapillica,2003,OCTUBRE,21.225,27.933,14.517
330,Paita,2003,NOVIEMBRE,15.948,25.506,6.389
331,Amotape,2003,NOVIEMBRE,14.812,22.610,7.014
332,Colán,2003,NOVIEMBRE,20.980,28.931,13.029
333,El Arenal,2003,NOVIEMBRE,24.169,29.829,18.509
334,La Huaca,2003,NOVIEMBRE,18.663,26.922,10.403
335,Tamarindo,2003,NOVIEMBRE,26.782,33.401,20.164
336,Vichayal,2003,NOVIEMBRE,23.400,29.432,17.368
337,Chulucanas,2003,NOVIEMBRE,15.872,24.291,7.453
338,Buenos Aires,2003,NOVIEMBRE,15.328,22.298,8.357
339,Chalaco,2003,NOVIEMBRE,16.195,25.479,6.910
340,La Matanza,2003,NOVIEMBRE,16.823,25.478,8.168
341,Morropón,2003,NOVIEMBRE,24.446,31.305,17.586
342,Salitral,2003,NOVIEMBRE,15.251,23.094,7.407
343,San Juan de Bigote,2003,NOVIEMBRE,19.364,28.078,10.651
344,Santa Catalina de Mossa,2003,NOVIEMBRE,14.271,22.739,5.803
345,Santo Domingo,2003,NOVIEMBRE,16.640,24.745,8.534
346,Yamango,2003,NOVIEMBRE,20.204,27.917,12.491
347,Huancabamba,2003,NOVIEMBRE,24.094,32.911,15.277
348,Canchaque,2003,NOVIEMBRE,14.787,22.970,6.604
349,El Carmen de la Frontera,2003,NOVIEMBRE,23.443,30.216,16.670
350,Huarmaca,2003,NOVIEMBRE,15.462,21.272,9.651
351,Lalaquiz,2003,NOVIEMBRE,17.779,25.202,10.355
352,San Miguel de El Faique,2003,NOVIEMBRE,24.646,29.911,19.382
353,Sondor,2003,NOVIEMBRE,19.318,26.962,11.674
354,Sondorillo,2003,NOVIEMBRE,23.994,32.741,15.246
355,Ayabaca,2003,NOVIEMBRE,18.608,28.296,8.920
356,Frías,2003,NOVIEMBRE,25.584,30.412,20.756
357,Jililí,2003,NOVIEMBRE,21.763,28.358,15.169
358,Lagunas,2003,NOVIEMBRE,13.572,22.583,4.562
359,Montero,2003,NOVIEMBRE,21.727,27.322,16.132
360,Pacaipampa,2003,NOVIEMBRE,25.147,30.402,19.891
361,Paimas,2003,NOVIEMBRE,15.248,24.705,5.792
362,Sapillica,2003,NOVIEMBRE,19.510,27.072,11.947
363,Paita,2003,DICIEMBRE,11.751,22.422,1.080
364,Amotape,2003,DICIEMBRE,11.790,19.874,3.706
365,Colán,2003,DICIEMBRE,17.065,25.822,8.308
366,El Arenal,2003,DICIEMBRE,20.853,27.124,14.582
367,La Huaca,2003,DICIEMBRE,12.064,21.563,2.564
368,Tamarindo,2003,DICIEMBRE,24.315,32.256,16.374
369,Vichayal,2003,DICIEMBRE,21.133,28.063,14.203
370,Chulucanas,2003,DICIEMBRE,10.850,20.202,1.499
371,Buenos Aires,2003,DICIEMBRE,12.415,19.769,5.061
372,Chalaco,2003,DICIEMBRE,11.391,21.303,1.480
373,La Matanza,2003,DICIEMBRE,13.335,23.025,3.644
374,Morropón,2003,DICIEMBRE,22.673,30.187,15.159
375,Salitral,2003,DICIEMBRE,12.539,21.495,3.582
376,San Juan de Bigote,2003,DICIEMBRE,16.092,26.237,5.947
377,Santa Catalina de Mossa,2003,DICIEMBRE,11.089,20.736,1.442
378,Santo Domingo,2003,DICIEMBRE,13.337,22.722,3.952
379,Yamango,2003,DICIEMBRE,17.423,26.540,8.306
380,Huancabamba,2003,DICIEMBRE,20.330,30.264,10.396
381,Canchaque,2003,DICIEMBRE,11.639,20.079,3.199
382,El Carmen de la Frontera,2003,DICIEMBRE,21.121,28.677,13.565
383,Huarmaca,2003,DICIEMBRE,12.472,19.099,5.844
384,Lalaquiz,2003,DICIEMBRE,14.018,22.841,5.194
385,San Miguel de El Faique,2003,DICIEMBRE,21.685,28.240,15.130
386,Sondor,2003,DICIEMBRE,15.275,24.092,6.457
387,Sondorillo,2003,DICIEMBRE,19.555,29.603,9.508
388,Ayabaca,2003,DICIEMBRE,14.780,25.273,4.287
389,Frías,2003,DICIEMBRE,21.585,26.151,17.019
390,Jililí,2003,DICIEMBRE,17.359,25.118,9.599
391,Lagunas,2003,DICIEMBRE,10.347,20.277,0.417
392,Montero,2003,DICIEMBRE,18.360,24.324,12.396
393,Pacaipampa,2003,DICIEMBRE,21.203,27.316,15.090
394,Paimas,2003,DICIEMBRE,10.855,21.782,-0.072
395,Sapillica,2003,DICIEMBRE,15.959,24.452,7.466
396,Paita,2003,ANUAL,17.668,26.609,8.727
397,Amotape,2003,ANUAL,17.964,26.047,9.880
398,Colán,2003,ANUAL,22.416,30.395,14.438
399,El Arenal,2003,ANUAL,25.983,32.722,19.243
400,La Huaca,2003,ANUAL,21.124,29.432,12.816
401,Tamarindo,2003,ANUAL,26.172,33.159,19.185
402,Vichayal,2003,ANUAL,24.058,30.645,17.470
403,Chulucanas,2003,ANUAL,18.646,27.241,10.050
404,Buenos Aires,2003,ANUAL,16.199,23.182,9.216
405,Chalaco,2003,ANUAL,17.728,26.524,8.933
406,La Matanza,2003,ANUAL,18.318,26.760,9.876
407,Morropón,2003,ANUAL,24.944,31.859,18.028
408,Salitral,2003,ANUAL,17.004,24.991,9.017
409,San Juan de Bigote,2003,ANUAL,20.578,29.095,12.062
410,Santa Catalina de Mossa,2003,ANUAL,14.716,22.793,6.638
411,Santo Domingo,2003,ANUAL,17.884,25.935,9.832
412,Yamango,2003,ANUAL,21.580,29.444,13.717
413,Huancabamba,2003,ANUAL,24.392,33.067,15.718
414,Canchaque,2003,ANUAL,16.769,25.259,8.279
415,El Carmen de la Frontera,2003,ANUAL,23.025,30.306,15.744
416,Huarmaca,2003,ANUAL,17.553,23.593,11.513
417,Lalaquiz,2003,ANUAL,18.511,26.166,10.857
418,San Miguel de El Faique,2003,ANUAL,25.558,31.803,19.312
419,Sondor,2003,ANUAL,21.443,29.140,13.746
420,Sondorillo,2003,ANUAL,25.347,33.681,17.014
421,Ayabaca,2003,ANUAL,22.806,32.248,13.365
422,Frías,2003,ANUAL,26.923,32.596,21.251
423,Jililí,2003,ANUAL,23.567,30.230,16.904
424,Lagunas,2003,ANUAL,14.764,23.403,6.126
425,Montero,2003,ANUAL,23.580,29.592,17.567
426,Pacaipampa,2003,ANUAL,26.420,32.947,19.892
427,Paimas,2003,ANUAL,16.922,25.730,8.114
428,Sapillica,2003,ANUAL,20.955,28.644,13.267
429,Paita,2004,ENERO,12.169,20.905,3.434
430,Amotape,2004,ENERO,12.543,19.872,5.213
431,Colán,2004,ENERO,16.004,23.655,8.353
432,El Arenal,2004,ENERO,22.860,29.385,16.335
433,La Huaca,2004,ENERO,12.502,19.718,5.286
434,Tamarindo,2004,ENERO,23.349,30.497,16.200
435,Vichayal,2004,ENERO,22.071,28.984,15.159
436,Chulucanas,2004,ENERO,10.565,17.880,3.250
437,Buenos Aires,2004,ENERO,13.482,20.818,6.145
438,Chalaco,2004,ENERO,10.679,18.563,2.795
439,La Matanza,2004,ENERO,13.452,21.665,5.240
440,Morropón,2004,ENERO,22.548,30.043,15.052
441,Salitral,2004,ENERO,13.326,21.346,5.306
442,San Juan de Bigote,2004,ENERO,15.545,23.767,7.324
443,Santa Catalina de Mossa,2004,ENERO,11.631,20.204,3.058
444,Santo Domingo,2004,ENERO,13.641,21.537,5.745
445,Yamango,2004,ENERO,17.703,26.219,9.188
446,Huancabamba,2004,ENERO,20.877,27.455,14.300
447,Canchaque,2004,ENERO,11.377,18.819,3.936
448,El Carmen de la Frontera,2004,ENERO,22.163,29.399,14.928
449,Huarmaca,2004,ENERO,13.735,19.656,7.814
450,Lalaquiz,2004,ENERO,13.741,20.498,6.984
451,San Miguel de El Faique,2004,ENERO,23.056,29.886,16.226
452,Sondor,2004,ENERO,15.982,22.855,9.109
453,Sondorillo,2004,ENERO,18.012,25.489,10.535
454,Ayabaca,2004,ENERO,14.130,22.667,5.593
455,Frías,2004,ENERO,23.530,28.487,18.572
