,ENTIDAD,Mes,A?,Tipo_sequia,Precipitacion,Temperatura_promedio,Temperatura_maxima,Temperatura_minima,Sembrada_ha,Cosechada_ha,perdida_ha,producto
71,Paita,9,2004,NPS,137.4,18.50624074,25.42211823,11.59036325,11950,2,11948,frijol
72,Paita,9,2008,NPS,78.5,19.05690679,25.04020745,13.38070273,48773,4100,44673,maiz
73,Paita,9,2013,NPS,154.3,20.1,26,14.2,9436,69,9367,frijol
74,Paita,9,2017,NPS,159.54,20,26.1,13.9,7386,2114,5272,frijol
75,Paita,10,2004,NPS,22,17.94582214,26.16711336,9.724530916,54715,4324,50391,maiz
76,Paita,10,2004,NPS,22,17.94582214,26.16711336,9.724530916,11950,2746,9204,frijol
77,Paita,10,2005,NPS,14,17.60513942,26.30284308,8.907435757,52249,2544,49705,maiz
78,Paita,10,2005,NPS,14,17.60513942,26.30284308,8.907435757,10819,653,10166,frijol
79,Paita,10,2006,NPS,85.5,18.1033445,25.40685045,10.79983856,42057,122,41935,maiz
80,Paita,10,2006,NPS,85.5,18.1033445,25.40685045,10.79983856,9707,227,9480,frijol
81,Paita,10,2007,NPS,11.5,18.46342559,27.48887814,9.756268704,43796,5124,38672,maiz
82,Paita,10,2007,NPS,11.5,18.46342559,27.48887814,9.756268704,9898,1069,8829,frijol
83,Paita,10,2008,NPS,6.4,17.19295072,25.71072854,8.875844076,48773,5028,43745,maiz
84,Paita,10,2008,NPS,6.4,17.19295072,25.71072854,8.875844076,10074,2741,7333,frijol
85,Paita,10,2012,NPS,6.4,18.6,28.1,9.2,35322,2891,32431,maiz
86,Paita,10,2012,NPS,6.4,18.6,28.1,9.2,9280,2011,7269,frijol
87,Paita,10,2013,NPS,45.3,18.6,26.3,10.9,35780,7363,28417,maiz
88,Paita,10,2013,NPS,45.3,18.6,26.3,10.9,9436,7509,1927,frijol
89,Paita,10,2014,NPS,33.51,19.3,27.3,11.2,33710,21613,12097,maiz
90,Paita,10,2014,NPS,33.51,19.3,27.3,11.2,7855,6935,920,frijol
91,Paita,10,2015,NPS,106.64,18.1,25.6,10.7,31744,10889,20855,maiz
92,Paita,10,2015,NPS,106.64,18.1,25.6,10.7,8200,5996,2204,frijol
93,Paita,10,2016,NPS,8.73,19.8,26.7,10.9,31387,11330,20057,maiz
94,Paita,10,2016,NPS,8.73,19.8,26.7,10.9,9007,3017,5990,frijol
95,Paita,10,2017,NPS,21.79,17.8,25.6,10,32322,1877,30445,maiz
96,Paita,10,2017,NPS,21.79,17.8,25.6,10,7386,2679,4707,frijol
97,Paita,10,2018,NPS,83.31,18.5,25.1,12,32330,3440,28890,maiz
98,Paita,10,2018,NPS,83.31,18.5,25.1,12,7391,2797,4594,frijol
99,Paita,10,2019,D1,40.5,18.6,26,11.3,24783,2213,22570,maiz
100,Paita,10,2019,D1,40.5,18.6,26,11.3,4598,1142,3456,frijol
101,Paita,10,2020,D0,4.5,17.6,27.4,7.8,32713,795,31918,maiz
102,Paita,10,2020,D0,4.5,17.6,27.4,7.8,7235,2044,5191,frijol
103,Paita,11,2004,NPS,0.8,14.7053055,24.75713649,4.653474512,47286,43031,4255,maiz
104,Paita,11,2004,NPS,0.8,14.7053055,24.75713649,4.653474512,11950,10570,1380,frijol
105,Paita,11,2005,NPS,0.1,14.85028466,25.00903955,4.69152977,52249,8770,43479,maiz
106,Paita,11,2005,NPS,0.1,14.85028466,25.00903955,4.69152977,10819,1410,9409,frijol
107,Paita,11,2006,NPS,22.3,14.60550967,24.08463141,5.126387931,42057,24795,17262,maiz
108,Paita,11,2006,NPS,22.3,14.60550967,24.08463141,5.126387931,9707,7616,2091,frijol
109,Paita,11,2007,NPS,2.921957038,14.90914098,25.33654475,4.710601068,43796,10786,33010,maiz
110,Paita,11,2007,NPS,2.921957038,14.90914098,25.33654475,4.710601068,9898,2172,7726,frijol
111,Paita,11,2008,NPS,0,13.98462468,24.35216931,3.758745421,48799,39593,9206,maiz
112,Paita,11,2008,NPS,0,13.98462468,24.35216931,3.758745421,10074,6169,3905,frijol
113,Paita,11,2010,NPS,0,14.97007255,25.56791625,4.372228845,44774,12811,31963,maiz
114,Paita,11,2010,NPS,0,14.97007255,25.56791625,4.372228845,10414,5223,5191,frijol
115,Paita,11,2011,D3,1.1,15.22623429,25.10121425,5.35125432,4778,200,4578,frijol
116,Paita,11,2012,NPS,4.2,15.8,24.4,7.2,35322,13533,21789,maiz
117,Paita,11,2012,NPS,4.2,15.8,24.4,7.2,9280,5691,3589,frijol
118,Paita,11,2013,NPS,35.2,16.1,23.2,9.1,37091,33570,3521,maiz
119,Paita,11,2013,NPS,35.2,16.1,23.2,9.1,9436,8144,1292,frijol
120,Paita,11,2014,NPS,22.2,14.4,22.6,6.2,33710,28013,5697,maiz
121,Paita,11,2014,NPS,22.2,14.4,22.6,6.2,7855,7443,412,frijol
122,Paita,11,2015,NPS,8.25,17.1,25.3,8.9,31744,23211,8533,maiz
123,Paita,11,2015,NPS,8.25,17.1,25.3,8.9,8200,7019,1181,frijol
124,Paita,11,2016,NPS,30.06,15.9,23.4,8.4,31387,28297,3090,maiz
125,Paita,11,2016,NPS,30.06,15.9,23.4,8.4,9007,8272,735,frijol
126,Paita,11,2017,NPS,0.12,16.3,26.7,6,32322,26885,5437,maiz
127,Paita,11,2017,NPS,0.12,16.3,26.7,6,7386,7386,0,frijol
128,Paita,11,2018,NPS,40.51,14.7,23.1,6.2,32330,32129,201,maiz
129,Paita,11,2018,NPS,40.51,14.7,23.1,6.2,7391,7387,4,frijol
130,Paita,11,2019,NPS,33.7,16.7,24.4,8.9,24783,12117,12666,maiz
131,Paita,11,2019,NPS,33.7,16.7,24.4,8.9,4598,1913,2685,frijol
132,Paita,11,2020,D0,0,15.8,25.9,5.8,32713,31139,1574,maiz
133,Paita,11,2020,D0,0,15.8,25.9,5.8,7235,7134,101,frijol
134,Amotape,1,2005,NPS,49.6,13.76047579,20.37438516,7.146566409,718,8,710,maiz
135,Amotape,1,2005,NPS,49.6,13.76047579,20.37438516,7.146566409,428,2,426,frijol
136,Amotape,1,2006,D0,2.8,13.84736841,21.14251667,6.552220143,428,428,0,maiz
137,Amotape,1,2006,D0,2.8,13.84736841,21.14251667,6.552220143,866,866,0,frijol
138,Amotape,1,2007,D2,12.8,11.51805118,18.28863056,4.872731338,398,15,383,maiz
139,Amotape,1,2007,D2,12.8,11.51805118,18.28863056,4.872731338,449,24,425,frijol
140,Amotape,1,2007,D2,12.8,11.51805118,18.28863056,4.872731338,85,85,0,yuca
141,Amotape,1,2009,D1,3,14.77404614,21.58419401,7.963898273,475,8,467,frijol
142,Amotape,1,2010,D0,79.6,13.94665105,20.52714168,7.366160418,470,10,460,frijol
143,Amotape,1,2011,NPS,5,14.12274322,20.61027515,7.635211298,57,57,0,maiz
144,Amotape,1,2011,NPS,5,14.12274322,20.61027515,7.635211298,976,826,150,frijol
145,Amotape,1,2012,NPS,4,15.6,21.8,9.4,13,13,0,frijol
146,Amotape,1,2013,D0,28.88,12.94445423,18.97081,6.918098462,294,13,281,maiz
147,Amotape,1,2013,D0,28.88,12.94445423,18.97081,6.918098462,38,2,36,frijol
148,Amotape,1,2014,D2,3.61,17,23.7,10.2,218,218,0,maiz
149,Amotape,1,2014,D2,3.61,17,23.7,10.2,621,18,603,frijol
150,Amotape,2,2005,NPS,90.3,13.47289881,18.88161976,8.064177868,718,8,710,maiz
151,Amotape,2,2005,NPS,90.3,13.47289881,18.88161976,8.064177868,428,2,426,frijol
152,Amotape,2,2006,D0,16.4,14.87492634,22.02302046,7.726832229,428,428,0,maiz
153,Amotape,2,2006,D0,16.4,14.87492634,22.02302046,7.726832229,866,866,0,frijol
154,Amotape,2,2007,D1,28.6,13.8472352,20.75269902,6.978682013,398,15,383,maiz
155,Amotape,2,2007,D1,28.6,13.8472352,20.75269902,6.978682013,449,24,425,frijol
156,Amotape,2,2007,D1,28.6,13.8472352,20.75269902,6.978682013,85,85,0,yuca
157,Amotape,2,2009,D1,56.1,13.45528986,20.34728025,6.563299472,475,8,467,frijol
158,Amotape,2,2010,NPS,57,13.82517846,19.92854086,7.721816053,470,10,460,frijol
159,Amotape,2,2011,NPS,75.2,11.10374907,17.20044631,5.007051839,57,57,0,maiz
160,Amotape,2,2011,NPS,75.2,11.10374907,17.20044631,5.007051839,976,826,150,frijol
161,Amotape,2,2012,NPS,27.5,13.4,19.8,6.5,13,13,0,frijol
162,Amotape,2,2013,D0,12.2,13.74818526,20.68183205,6.814538469,294,13,281,maiz
163,Amotape,2,2013,D0,12.2,13.74818526,20.68183205,6.814538469,38,2,36,frijol
164,Amotape,2,2014,D2,14.34,17,24,10.1,218,218,0,maiz
165,Amotape,2,2014,D2,14.34,17,24,10.1,621,18,603,frijol
166,Amotape,3,2007,D1,3.4,17.17946556,24.873229,9.52285832,85,85,0,yuca
167,Amotape,3,2014,D0,9.62,19.2,25.9,12.5,218,218,0,maiz
168,Amotape,3,2014,D0,9.62,19.2,25.9,12.5,621,18,603,frijol
169,Amotape,4,2011,NPS,10.5,18.09070437,25.08317511,11.09823364,10751,14,10737,yuca
170,Amotape,5,2004,D1,0,21.9939394,29.85656566,14.13131313,2,2,0,maiz
171,Amotape,5,2005,NPS,1.1,21.25720576,28.96969831,13.54471322,8,3,5,maiz
172,Amotape,5,2005,NPS,1.1,21.25720576,28.96969831,13.54471322,4,2,2,frijol
173,Amotape,5,2010,NPS,0,18.751251,26.2249039,11.27759809,13187,18,13169,yuca
174,Amotape,5,2011,NPS,7.1,19.58413916,26.90631699,12.26196134,10751,14,10737,yuca
175,Amotape,6,2004,D1,0,23.34960938,31.2984375,15.40078125,2,2,0,maiz
176,Amotape,6,2004,D1,0,23.34960938,31.2984375,15.40078125,632,6,626,maiz
177,Amotape,6,2004,D1,0,23.34960938,31.2984375,15.40078125,16493,760,15733,yuca
178,Amotape,6,2005,NPS,0.2,22.99978249,30.43041817,15.5691468,8,3,5,maiz
179,Amotape,6,2005,NPS,0.2,22.99978249,30.43041817,15.5691468,4,2,2,frijol
180,Amotape,6,2005,NPS,0.2,22.99978249,30.43041817,15.5691468,14743,10,14733,yuca
181,Amotape,6,2006,NPS,0,26.1041206,33.52159309,18.68664811,8702,150,8552,yuca
182,Amotape,6,2009,D2,1.1,22.72505123,29.52241842,15.92768405,13277,988,12289,yuca
183,Amotape,6,2010,NPS,0,23.43771853,30.82174759,16.05368947,13187,23,13164,yuca
184,Amotape,6,2011,NPS,0,23.68165126,31.26195265,16.10134988,10751,20,10731,yuca
185,Amotape,6,2017,D0,0.17,26.4,34,18.8,5687,20,5667,yuca
186,Amotape,7,2004,D1,0,27.31230469,35.20117188,19.4234375,2,2,0,maiz
187,Amotape,7,2004,D1,0,27.31230469,35.20117188,19.4234375,718,6,712,maiz
188,Amotape,7,2004,D1,0,27.31230469,35.20117188,19.4234375,16493,4167,12326,yuca
189,Amotape,7,2005,NPS,1.6,27.53205425,35.10116729,19.96294122,8,3,5,maiz
190,Amotape,7,2005,NPS,1.6,27.53205425,35.10116729,19.96294122,523,4,519,maiz
191,Amotape,7,2005,NPS,1.6,27.53205425,35.10116729,19.96294122,4,2,2,frijol
192,Amotape,7,2005,NPS,1.6,27.53205425,35.10116729,19.96294122,14743,7465,7278,yuca
193,Amotape,7,2006,NPS,1.5,27.31233,35.201172,19.423488,398,7,391,maiz
194,Amotape,7,2006,NPS,1.5,27.31233,35.201172,19.423488,8702,430,8272,yuca
195,Amotape,7,2006,NPS,1.5,27.31233,35.201172,19.423488,85,82,3,yuca
196,Amotape,7,2008,D1,1.9,25.54306178,32.44350293,18.60572495,14348,3865,10483,yuca
197,Amotape,7,2009,D2,0,26.12034148,33.15512194,19.08556102,13277,4643,8634,yuca
198,Amotape,7,2010,NPS,0.4,27.21698322,33.82871589,20.60525054,13187,2837,10350,yuca
199,Amotape,7,2011,NPS,9.7,25.45684908,32.1295301,18.78416805,10751,5640,5111,yuca
200,Amotape,7,2012,NPS,4.3,24.5,31.1,17.6,11245,1795,9450,yuca
201,Amotape,7,2013,D1,30.6,26.5,33.1,20,10018,3420,6598,yuca
202,Amotape,7,2014,D3,3.23,27.5,33.8,21.2,2811,5,2806,yuca
203,Amotape,7,2016,D3,26.14,29,36.2,21.8,5579,1703,3876,yuca
204,Amotape,7,2017,D0,2.86,29.3,35.5,23,5687,2482,3205,yuca
205,Amotape,7,2019,D0,5.1,25.6,32.7,18.5,2967,1758,1209,yuca
206,Amotape,7,2020,NPS,1.1,26.7,33.9,19.6,2466,1793,673,yuca
207,Amotape,8,2004,D1,1.4,26.68016394,34.63639344,18.72393443,2,2,0,maiz
208,Amotape,8,2004,D1,1.4,26.68016394,34.63639344,18.72393443,718,6,712,maiz
209,Amotape,8,2004,D1,1.4,26.68016394,34.63639344,18.72393443,16493,6067,10426,yuca
210,Amotape,8,2005,NPS,5.8,27.03353845,34.06925979,19.99781712,5,3,2,maiz
211,Amotape,8,2005,NPS,5.8,27.03353845,34.06925979,19.99781712,528,347,181,maiz
212,Amotape,8,2005,NPS,5.8,27.03353845,34.06925979,19.99781712,4,2,2,frijol
213,Amotape,8,2005,NPS,5.8,27.03353845,34.06925979,19.99781712,966,836,130,frijol
214,Amotape,8,2005,NPS,5.8,27.03353845,34.06925979,19.99781712,14743,12134,2609,yuca
215,Amotape,8,2006,D0,0,27.00136589,33.86579411,20.13693768,398,15,383,maiz
216,Amotape,8,2006,D0,0,27.00136589,33.86579411,20.13693768,449,24,425,frijol
217,Amotape,8,2006,D0,0,27.00136589,33.86579411,20.13693768,8702,430,8272,yuca
218,Amotape,8,2006,D0,0,27.00136589,33.86579411,20.13693768,85,82,3,yuca
219,Amotape,8,2007,D3,0,28.0532617,34.94586504,21.3437376,7316,15,7301,yuca
220,Amotape,8,2008,D1,12.6,26.79380652,33.41857001,20.06994086,14348,7003,7345,yuca
221,Amotape,8,2009,D2,1,27.24035895,34.71886052,19.76185738,470,10,460,frijol
222,Amotape,8,2009,D2,1,27.24035895,34.71886052,19.76185738,13277,6280,6997,yuca
223,Amotape,8,2010,NPS,2.9,28.25327198,35.03324347,21.47330049,13071,7520,5551,yuca
224,Amotape,8,2011,NPS,2.7,26.29906068,33.58176411,19.01635724,10751,7889,2862,yuca
225,Amotape,8,2012,NPS,7.8,27.9,34.4,21.5,11245,5620,5625,yuca
226,Amotape,8,2013,D1,31.6,26.9,34,19.8,10018,3420,6598,yuca
227,Amotape,8,2014,D3,9.38,27.7,33.8,21.5,2811,5,2806,yuca
228,Amotape,8,2016,D3,31.01,28.8,35.5,22,5579,3904,1675,yuca
229,Amotape,8,2017,D0,7.14,29,35.6,22.3,5687,3878,1809,yuca
230,Amotape,8,2019,D0,3,28.1,35.3,20.9,2967,1763,1204,yuca
231,Amotape,8,2020,D0,0.5,28.5,35.4,21.7,2466,1793,673,yuca
232,Amotape,9,2004,D2,0,25.72284345,34.23226837,17.21341853,2,2,0,maiz
233,Amotape,9,2004,D2,0,25.72284345,34.23226837,17.21341853,718,6,712,maiz
234,Amotape,9,2004,D2,0,25.72284345,34.23226837,17.21341853,16493,6067,10426,yuca
235,Amotape,9,2005,NPS,1,24.68664901,32.51186811,16.86142992,5,5,0,maiz
236,Amotape,9,2005,NPS,1,24.68664901,32.51186811,16.86142992,528,347,181,maiz
237,Amotape,9,2005,NPS,1,24.68664901,32.51186811,16.86142992,4,2,2,frijol
238,Amotape,9,2005,NPS,1,24.68664901,32.51186811,16.86142992,966,836,130,frijol
239,Amotape,9,2005,NPS,1,24.68664901,32.51186811,16.86142992,14743,14695,48,yuca
240,Amotape,9,2006,D0,1.3,25.43287981,32.68581106,18.17994856,398,15,383,maiz
241,Amotape,9,2006,D0,1.3,25.43287981,32.68581106,18.17994856,449,24,425,frijol
242,Amotape,9,2006,D0,1.3,25.43287981,32.68581106,18.17994856,8702,430,8272,yuca
243,Amotape,9,2006,D0,1.3,25.43287981,32.68581106,18.17994856,85,82,3,yuca
244,Amotape,9,2007,D3,1.5,24.63678433,31.66713297,17.40673426,7316,15,7301,yuca
245,Amotape,9,2008,D2,0.1,25.79422187,33.35967515,18.39826553,14348,9688,4660,yuca
246,Amotape,9,2009,D2,0.4,27.09179762,34.47050149,19.71309376,470,10,460,frijol
247,Amotape,9,2009,D2,0.4,27.09179762,34.47050149,19.71309376,13277,6280,6997,yuca
248,Amotape,9,2010,NPS,3.9,26.06422052,33.70053194,18.42790909,976,800,176,frijol
249,Amotape,9,2010,NPS,3.9,26.06422052,33.70053194,18.42790909,13071,11949,1122,yuca
250,Amotape,9,2011,NPS,3.5,25.34114002,32.06909273,18.61318731,13,13,0,frijol
251,Amotape,9,2011,NPS,3.5,25.34114002,32.06909273,18.61318731,10751,7889,2862,yuca
252,Amotape,9,2012,NPS,11.1,26.2,33.1,19.3,294,13,281,maiz
253,Amotape,9,2012,NPS,11.1,26.2,33.1,19.3,38,2,36,frijol
254,Amotape,9,2012,NPS,11.1,26.2,33.1,19.3,11245,5873,5372,yuca
255,Amotape,9,2013,D1,33.5,26.7,33,20.5,7033,3716,3317,yuca
256,Amotape,9,2014,D3,2.94,29.6,35.9,23.2,2811,5,2806,yuca
257,Amotape,9,2015,D3,41.59,27,33.2,20.7,6650,238,6412,yuca
258,Amotape,9,2016,D3,26.65,25.9,32.8,19,5579,4549,1030,yuca
259,Amotape,9,2017,D0,9.64,25.5,32.2,18.9,5687,5687,0,yuca
260,Amotape,9,2019,NPS,14,25.3,31.8,18.8,2967,2781,186,yuca
261,Amotape,9,2020,D0,1.1,26.6,34.3,18.9,2466,1888,578,yuca
262,Amotape,10,2004,D0,147.9,19.51579755,26.46871166,12.56288344,718,6,712,maiz
263,Amotape,10,2005,NPS,7.6,20.69377215,27.75980843,13.62773586,428,428,0,maiz
264,Amotape,10,2005,NPS,7.6,20.69377215,27.75980843,13.62773586,866,866,0,frijol
265,Amotape,10,2006,D1,0.7,20.39367141,27.44713139,13.34021142,398,15,383,maiz
266,Amotape,10,2006,D1,0.7,20.39367141,27.44713139,13.34021142,449,24,425,frijol
267,Amotape,10,2006,D1,0.7,20.39367141,27.44713139,13.34021142,85,82,3,yuca
268,Amotape,10,2009,D2,0.7,19.41000023,26.71216714,12.10783331,470,10,460,frijol
269,Amotape,10,2010,NPS,29.7,22.14801127,28.4619318,15.83409075,976,800,176,frijol
270,Amotape,10,2011,D0,4.2,20.96536787,28.1461799,13.78455585,13,13,0,frijol
271,Amotape,10,2012,NPS,1.9,22.3,30,14.6,294,13,281,maiz
272,Amotape,10,2012,NPS,1.9,22.3,30,14.6,38,2,36,frijol
273,Amotape,10,2013,D1,13.4,22.2,29.4,15,218,218,0,maiz
274,Amotape,10,2013,D1,13.4,22.2,29.4,15,621,18,603,frijol
275,Amotape,11,2004,D0,16.7,14.08411371,20.85986622,7.308361204,718,8,710,maiz
276,Amotape,11,2004,D0,16.7,14.08411371,20.85986622,7.308361204,428,2,426,frijol
277,Amotape,11,2005,NPS,0.3,17.96189041,25.13070413,10.79307669,428,428,0,maiz
278,Amotape,11,2005,NPS,0.3,17.96189041,25.13070413,10.79307669,866,866,0,frijol
279,Amotape,11,2006,D2,1.7,17.72987448,25.09709676,10.36265219,398,15,383,maiz
280,Amotape,11,2006,D2,1.7,17.72987448,25.09709676,10.36265219,449,24,425,frijol
281,Amotape,11,2006,D2,1.7,17.72987448,25.09709676,10.36265219,85,82,3,yuca
282,Amotape,11,2008,D2,33.6,18.33166187,25.57424265,11.29658206,475,8,467,frijol
283,Amotape,11,2009,D2,12.4,16.87390474,24.72223193,9.025577554,470,10,460,frijol
284,Amotape,11,2010,NPS,8.9,16.72467326,23.30257224,10.14677429,57,57,0,maiz
285,Amotape,11,2010,NPS,8.9,16.72467326,23.30257224,10.14677429,976,826,150,frijol
286,Amotape,11,2011,NPS,39.2,14.78101137,20.93630594,8.625716808,13,13,0,frijol
287,Amotape,11,2012,D0,5.6,17.2,24.3,10.1,294,13,281,maiz
288,Amotape,11,2012,D0,5.6,17.2,24.3,10.1,38,2,36,frijol
289,Amotape,11,2013,NPS,17.4,18.1,24.8,11.5,218,218,0,maiz
290,Amotape,11,2013,NPS,17.4,18.1,24.8,11.5,621,18,603,frijol
291,Amotape,12,2004,NPS,80.7,12.9360687,19.50648855,6.365648855,2,2,0,maiz
292,Amotape,12,2004,NPS,80.7,12.9360687,19.50648855,6.365648855,16493,6067,10426,yuca
293,Amotape,12,2005,NPS,0.6,14.05838235,21.17436541,6.942399288,5,5,0,maiz
294,Amotape,12,2005,NPS,0.6,14.05838235,21.17436541,6.942399288,4,2,2,frijol
295,Amotape,12,2005,NPS,0.6,14.05838235,21.17436541,6.942399288,14743,14695,48,yuca
296,Amotape,12,2006,D1,6.2,14.27644859,21.88601695,6.666880236,8702,430,8272,yuca
297,Amotape,12,2007,D2,21.6,13.04462747,19.20904588,7.063441157,7316,15,7301,yuca
298,Amotape,12,2008,D1,111.9,13.54741433,19.42343639,7.671392277,14348,9688,4660,yuca
299,Amotape,12,2009,D1,33.6,13.1780236,19.35433515,7.001712042,13277,6280,6997,yuca
300,Amotape,12,2010,NPS,61.7,15.35864511,22.4627832,8.254507025,13071,11949,1122,yuca
