,ENTIDAD,A?O,MES,TEMPERATURA_PROMEDIO,TEMPERATURA_MAXIMA,TEMPERATURA_MINIMA
40,CHULUCANAS,2003,FEBRERO,12.25883127,20.75473671,3.76292582
41,BUENOS AIRES,2003,FEBRERO,15.86409552,24.33918005,7.38901099
42,CHALACO,2003,FEBRERO,12.95896042,21.89825429,4.01966654
43,LA MATANZA,2003,FEBRERO,16.36536132,26.00042171,6.73030094
44,MORROPON,2003,FEBRERO,24.17367675,32.15091923,16.19643428
45,SALITRAL,2003,FEBRERO,15.97510108,25.59171159,6.35849057
46,SAN JUAN DE BIGOTE,2003,FEBRERO,18.20147595,28.27263120,8.13032070
47,SANTA CATALINA DE MOSSA,2003,FEBRERO,12.89007457,22.69898589,3.08116325
48,SANTO DOMINGO,2003,FEBRERO,16.06744611,25.44415391,6.69073831
49,YAMANGO,2003,FEBRERO,20.45590986,29.86335034,11.04846939
50,HUANCABAMBA,2003,FEBRERO,21.19543651,31.08928572,11.30158730
51,CANCHAQUE,2003,FEBRERO,14.21575255,22.47869898,5.95280612
52,EL CARMEN DE LA FRONTERA,2003,FEBRERO,21.92194368,30.56627747,13.27760989
53,HUARMACA,2003,FEBRERO,15.95059524,22.60357143,9.29761905
54,LALAQUIZ,2003,FEBRERO,16.63107639,25.60491071,7.65724206
55,SAN MIGUEL DE EL FAIQUE,2003,FEBRERO,24.38992974,31.21964191,17.56021756
56,SONDOR,2003,FEBRERO,18.79070642,27.03650790,10.54490494
57,SONDORILLO,2003,FEBRERO,20.87293929,29.12623573,12.61964286
58,AYABACA,2003,FEBRERO,15.80106799,24.12623712,7.47589886
59,FRIAS,2003,FEBRERO,25.47725119,31.37393365,19.58056872
60,JILILI,2003,FEBRERO,19.13881127,25.99154532,12.28607722
61,LAGUNAS,2003,FEBRERO,13.64196429,24.07250000,3.21142857
62,MONTERO,2003,FEBRERO,21.29600258,27.53370052,15.05830465
63,PACAIPAMPA,2003,FEBRERO,25.29971320,32.49330784,18.10611855
64,PAIMAS,2003,FEBRERO,14.13214085,23.71809515,4.54618655
65,SAPILLICA,2003,FEBRERO,18.39818736,26.77124845,10.02512627
66,PAITA,2003,MARZO,16.57058502,27.33652269,5.80464735
67,AMOTAPE,2003,MARZO,14.80958211,21.76712121,7.85204301
68,COLAN,2003,MARZO,18.88614486,27.27312575,10.49916398
69,EL ARENAL,2003,MARZO,26.61516577,34.36677867,18.86355287
70,LA HUACA,2003,MARZO,18.19791667,27.71700269,8.67883065
71,TAMARINDO,2003,MARZO,24.17661290,33.01827957,15.33494624
72,VICHAYAL,2003,MARZO,24.64296909,32.29252044,16.99341775
73,CHULUCANAS,2003,MARZO,14.38706830,23.66882619,5.10531042
74,BUENOS AIRES,2003,MARZO,16.86256720,25.43346774,8.29166667
75,CHALACO,2003,MARZO,15.03194478,25.07385359,4.99003598
76,LA MATANZA,2003,MARZO,18.08414590,27.98962652,8.17866528
77,MORROPON,2003,MARZO,24.63503582,32.82649117,16.44358046
78,SALITRAL,2003,MARZO,17.38937918,26.81497261,7.96378576
79,SAN JUAN DE BIGOTE,2003,MARZO,19.36910042,30.28149999,8.45670086
80,SANTA CATALINA DE MOSSA,2003,MARZO,14.29383088,23.98291220,4.60474956
81,SANTO DOMINGO,2003,MARZO,17.46519355,27.55922581,7.37116129
82,YAMANGO,2003,MARZO,22.18623131,32.07261998,12.29984264
83,HUANCABAMBA,2003,MARZO,22.33960574,32.94086022,11.73835125
84,CANCHAQUE,2003,MARZO,16.15491551,25.59216590,6.71766513
85,EL CARMEN DE LA FRONTERA,2003,MARZO,23.07819074,31.49649369,14.65988780
86,HUARMACA,2003,MARZO,17.53571429,24.30069124,10.77073733
87,LALAQUIZ,2003,MARZO,17.60989062,26.26075269,8.95902855
88,SAN MIGUEL DE EL FAIQUE,2003,MARZO,25.97305482,32.98502156,18.96108808
89,SONDOR,2003,MARZO,21.33062038,30.27100309,12.39023767
90,SONDORILLO,2003,MARZO,21.22563208,31.52101133,10.93025283
91,AYABACA,2003,MARZO,17.53460731,27.68035714,7.38885749
92,FRIAS,2003,MARZO,28.16186613,35.35862069,20.96511156
93,JILILI,2003,MARZO,22.35022318,29.77641683,14.92402952
94,LAGUNAS,2003,MARZO,14.93088710,25.45903226,4.40274194
95,MONTERO,2003,MARZO,23.75782620,30.39340261,17.12224979
96,PACAIPAMPA,2003,MARZO,27.55606618,35.63713235,19.47500000
97,PAIMAS,2003,MARZO,15.55703834,26.22928900,4.88478768
98,SAPILLICA,2003,MARZO,19.95936289,28.91803429,11.00069148
99,PAITA,2003,ABRIL,19.92709040,29.94011299,9.91406780
100,AMOTAPE,2003,ABRIL,14.08045977,21.73230001,6.42861953
101,COLAN,2003,ABRIL,20.54291153,29.02135198,12.06447108
102,EL ARENAL,2003,ABRIL,27.13520833,35.04513889,19.22527778
103,LA HUACA,2003,ABRIL,22.57770434,31.90500000,13.25040868
104,TAMARINDO,2003,ABRIL,26.31734568,34.03444444,18.60024691
105,VICHAYAL,2003,ABRIL,25.50158915,33.17782721,17.82535108
106,CHULUCANAS,2003,ABRIL,19.14248999,28.60627805,9.67870194
107,BUENOS AIRES,2003,ABRIL,17.87477745,25.82921569,9.92033921
108,CHALACO,2003,ABRIL,18.77642553,28.14246575,9.41038532
109,LA MATANZA,2003,ABRIL,20.84918495,30.63581650,11.06255341
110,MORROPON,2003,ABRIL,26.56357134,34.18540122,18.94174146
111,SALITRAL,2003,ABRIL,18.98317610,28.46226415,9.50408805
112,SAN JUAN DE BIGOTE,2003,ABRIL,22.38508472,32.76541424,12.00475520
113,SANTA CATALINA DE MOSSA,2003,ABRIL,16.38908459,25.38784826,7.39032092
114,SANTO DOMINGO,2003,ABRIL,20.24918498,30.02214547,10.47622449
115,YAMANGO,2003,ABRIL,24.69041667,34.02458333,15.35625000
116,HUANCABAMBA,2003,ABRIL,24.84907408,35.19135803,14.50679012
117,CANCHAQUE,2003,ABRIL,18.68690476,27.99940476,9.37440476
118,EL CARMEN DE LA FRONTERA,2003,ABRIL,24.50435730,32.55152505,16.45718954
119,HUARMACA,2003,ABRIL,20.16474359,27.79743590,12.53205128
120,LALAQUIZ,2003,ABRIL,19.21957615,27.77040230,10.66875000
121,SAN MIGUEL DE EL FAIQUE,2003,ABRIL,25.72706279,32.80624839,18.64787718
122,SONDOR,2003,ABRIL,23.36359244,32.50997770,14.21720718
123,SONDORILLO,2003,ABRIL,24.21937438,34.07874877,14.36000000
124,AYABACA,2003,ABRIL,20.49788922,31.03826578,9.95751266
125,FRIAS,2003,ABRIL,28.01662531,34.66947891,21.36377171
126,JILILI,2003,ABRIL,24.72473928,32.23771608,17.21176247
127,LAGUNAS,2003,ABRIL,16.87822222,26.43933333,7.31711111
128,MONTERO,2003,ABRIL,25.25544372,32.23958875,18.27129870
129,PACAIPAMPA,2003,ABRIL,26.17113096,33.62182540,18.72043651
130,PAIMAS,2003,ABRIL,18.87851681,28.76196639,8.99506723
131,SAPILLICA,2003,ABRIL,21.97321745,30.70721512,13.23921979
132,PAITA,2003,MAYO,22.27646872,32.37263441,12.18030303
133,AMOTAPE,2003,MAYO,17.82078352,26.19935227,9.44221477
134,COLAN,2003,MAYO,22.57890925,31.47369481,13.68412370
135,EL ARENAL,2003,MAYO,30.05385484,37.82151613,22.28619355
136,LA HUACA,2003,MAYO,27.31496416,36.93817204,17.69175627
137,TAMARINDO,2003,MAYO,27.02171216,35.10446650,18.93895782
138,VICHAYAL,2003,MAYO,26.14046822,32.78805430,19.49288214
139,CHULUCANAS,2003,MAYO,23.58377655,33.44744372,13.72010938
140,BUENOS AIRES,2003,MAYO,19.27262545,27.15479391,11.39045699
141,CHALACO,2003,MAYO,22.94733595,33.01235748,12.88231442
142,LA MATANZA,2003,MAYO,22.80774073,32.41565119,13.19983028
143,MORROPON,2003,MAYO,27.34461502,34.74145879,19.94777125
144,SALITRAL,2003,MAYO,20.66174680,29.69598296,11.62751065
145,SAN JUAN DE BIGOTE,2003,MAYO,24.51405268,34.59680705,14.43129831
146,SANTA CATALINA DE MOSSA,2003,MAYO,17.58290688,26.34856577,8.81724799
147,SANTO DOMINGO,2003,MAYO,22.32089911,31.76389842,12.87789979
148,YAMANGO,2003,MAYO,25.47548387,34.06596774,16.88500000
149,HUANCABAMBA,2003,MAYO,26.65591398,37.15412186,16.15770609
150,CANCHAQUE,2003,MAYO,21.21066491,31.13672646,11.28460336
151,EL CARMEN DE LA FRONTERA,2003,MAYO,25.29323120,32.91056423,17.67589818
152,HUARMACA,2003,MAYO,21.86895161,29.25403226,14.48387097
153,LALAQUIZ,2003,MAYO,21.94094455,30.55361585,13.32827324
154,SAN MIGUEL DE EL FAIQUE,2003,MAYO,27.90646925,34.55771691,21.25522159
155,SONDOR,2003,MAYO,26.65968670,35.36898441,17.95038899
156,SONDORILLO,2003,MAYO,27.42533448,37.26741181,17.58325715
157,AYABACA,2003,MAYO,25.46723968,36.65137047,14.28310888
158,FRIAS,2003,MAYO,30.76154791,37.52899263,23.99410319
159,JILILI,2003,MAYO,28.95218260,36.36991773,21.53444747
160,LAGUNAS,2003,MAYO,17.91024194,27.23838710,8.58209677
161,MONTERO,2003,MAYO,28.26615874,35.42278580,21.10953169
162,PACAIPAMPA,2003,MAYO,30.26363637,37.97818182,22.54909091
163,PAIMAS,2003,MAYO,22.08566579,32.48030063,11.69103095
164,SAPILLICA,2003,MAYO,24.44956918,33.18168523,15.71745312
165,PAITA,2003,JUNIO,21.60940611,29.68116071,13.53765152
166,AMOTAPE,2003,JUNIO,20.66172414,28.54310345,12.78034483
167,COLAN,2003,JUNIO,24.04558288,32.37064213,15.72052363
168,EL ARENAL,2003,JUNIO,28.69056344,35.22968898,22.15143791
169,LA HUACA,2003,JUNIO,27.49362745,35.33980392,19.64745098
170,TAMARINDO,2003,JUNIO,27.11641026,32.57666667,21.65615385
171,VICHAYAL,2003,JUNIO,24.82378205,30.58679487,19.06076923
172,CHULUCANAS,2003,JUNIO,25.48293312,34.00827160,16.95759463
173,BUENOS AIRES,2003,JUNIO,17.25498553,23.01171932,11.49825175
174,CHALACO,2003,JUNIO,22.72619600,31.18104885,14.27134315
175,LA MATANZA,2003,JUNIO,21.17637881,28.57344589,13.77931173
176,MORROPON,2003,JUNIO,25.45667902,31.41369664,19.49966139
177,SALITRAL,2003,JUNIO,19.32864780,26.18496855,12.47232704
178,SAN JUAN DE BIGOTE,2003,JUNIO,23.81407153,30.88182186,16.74632119
179,SANTA CATALINA DE MOSSA,2003,JUNIO,16.13642324,22.29692778,9.97591870
180,SANTO DOMINGO,2003,JUNIO,19.99836956,26.48550725,13.51123188
181,YAMANGO,2003,JUNIO,22.79920833,28.85008333,16.74833333
182,HUANCABAMBA,2003,JUNIO,27.68518518,35.42592593,19.94444444
183,CANCHAQUE,2003,JUNIO,20.46166667,29.29617284,11.62716049
184,EL CARMEN DE LA FRONTERA,2003,JUNIO,23.66799985,29.82410160,17.51189811
185,HUARMACA,2003,JUNIO,20.85486111,26.57500000,15.13472222
186,LALAQUIZ,2003,JUNIO,19.47033626,25.59388889,13.34678363
187,SAN MIGUEL DE EL FAIQUE,2003,JUNIO,27.51531822,33.20280168,21.82783476
188,SONDOR,2003,JUNIO,25.50514387,32.83449494,18.17579280
189,SONDORILLO,2003,JUNIO,29.72368421,37.55921053,21.88815790
190,AYABACA,2003,JUNIO,29.00373008,39.22712751,18.78033265
191,FRIAS,2003,JUNIO,29.09195122,34.77292683,23.41097561
192,JILILI,2003,JUNIO,28.59896989,35.34531895,21.85262083
193,LAGUNAS,2003,JUNIO,16.57229502,22.87911111,10.26547893
194,MONTERO,2003,JUNIO,26.69437134,32.75497076,20.63377193
195,PACAIPAMPA,2003,JUNIO,30.01376811,36.67173913,23.35579710
196,PAIMAS,2003,JUNIO,21.21508899,29.03660935,13.39356863
197,SAPILLICA,2003,JUNIO,23.89654248,30.88171100,16.91137396
198,PAITA,2003,JULIO,20.20113630,27.40483859,12.99743402
199,AMOTAPE,2003,JULIO,25.09156354,33.81806869,16.36505840
200,COLAN,2003,JULIO,27.63285355,35.15498167,20.11072543
201,EL ARENAL,2003,JULIO,27.53115117,33.97324478,21.08905756
202,LA HUACA,2003,JULIO,26.15465950,33.46594982,18.84336918
203,TAMARINDO,2003,JULIO,27.75134409,33.81612903,21.68655914
204,VICHAYAL,2003,JULIO,24.68083283,30.75885068,18.60281497
205,CHULUCANAS,2003,JULIO,24.91199257,32.84672116,16.97726398
206,BUENOS AIRES,2003,JULIO,16.96274678,23.17982179,10.74567177
207,CHALACO,2003,JULIO,21.56330463,29.18283462,13.94377463
208,LA MATANZA,2003,JULIO,19.53047868,26.49697208,12.56398527
209,MORROPON,2003,JULIO,25.37750038,31.64038032,19.11462044
210,SALITRAL,2003,JULIO,18.23405356,25.05057821,11.41752891
211,SAN JUAN DE BIGOTE,2003,JULIO,22.30732229,28.77114854,15.84349605
212,SANTA CATALINA DE MOSSA,2003,JULIO,15.74874733,22.46575002,9.03174464
213,SANTO DOMINGO,2003,JULIO,18.78538001,25.22249511,12.34826491
214,YAMANGO,2003,JULIO,22.11463415,28.37301337,15.85625492
215,HUANCABAMBA,2003,JULIO,26.73763441,33.56630824,19.90896057
216,CANCHAQUE,2003,JULIO,19.29357457,27.33423404,11.25291510
217,EL CARMEN DE LA FRONTERA,2003,JULIO,23.08954973,29.94489247,16.23420699
218,HUARMACA,2003,JULIO,18.76426799,24.18982630,13.33870968
219,LALAQUIZ,2003,JULIO,21.00183334,27.77166667,14.23200000
220,SAN MIGUEL DE EL FAIQUE,2003,JULIO,27.20027292,32.87363905,21.52690679
221,SONDOR,2003,JULIO,23.51911728,29.90776114,17.13047341
222,SONDORILLO,2003,JULIO,30.02072015,36.55323996,23.48820034
223,AYABACA,2003,JULIO,30.98908560,39.15168256,22.82648864
224,FRIAS,2003,JULIO,28.40766510,34.14339623,22.67193396
225,JILILI,2003,JULIO,26.70979753,32.70621139,20.71338366
226,LAGUNAS,2003,JULIO,15.40838710,22.93048387,7.88629032
227,MONTERO,2003,JULIO,25.31110320,31.17385840,19.44834800
228,PACAIPAMPA,2003,JULIO,27.64245283,33.24905660,22.03584906
229,PAIMAS,2003,JULIO,19.07790634,25.70894424,12.44686844
230,SAPILLICA,2003,JULIO,23.36728342,30.08834311,16.64622372
231,PAITA,2003,AGOSTO,19.40724504,26.50332064,12.31116945
232,AMOTAPE,2003,AGOSTO,26.11397911,34.33673959,17.89121864
233,COLAN,2003,AGOSTO,28.29192540,35.48999419,21.09385662
234,EL ARENAL,2003,AGOSTO,27.22868438,33.69030150,20.76706726
235,LA HUACA,2003,AGOSTO,26.18234295,33.96757216,18.39711375
236,TAMARINDO,2003,AGOSTO,27.17423904,33.11949959,21.22897849
237,VICHAYAL,2003,AGOSTO,24.72365403,30.79434339,18.65296467
238,CHULUCANAS,2003,AGOSTO,24.92641833,32.73382928,17.11900739
239,BUENOS AIRES,2003,AGOSTO,16.64553763,22.70075269,10.59032258
240,CHALACO,2003,AGOSTO,21.52585765,29.40296979,13.64874552
241,LA MATANZA,2003,AGOSTO,19.21936295,26.33219515,12.10653074
242,MORROPON,2003,AGOSTO,25.07367401,31.12098782,19.02636020
243,SALITRAL,2003,AGOSTO,18.16091905,25.14015825,11.18167985
244,SAN JUAN DE BIGOTE,2003,AGOSTO,21.90453194,28.18486838,15.62419550
245,SANTA CATALINA DE MOSSA,2003,AGOSTO,15.67699467,22.59523333,8.75875602
246,SANTO DOMINGO,2003,AGOSTO,18.47293708,25.01841099,11.92746316
247,YAMANGO,2003,AGOSTO,21.91232079,28.77087814,15.05376344
248,HUANCABAMBA,2003,AGOSTO,26.34050179,32.65053764,20.03046595
249,CANCHAQUE,2003,AGOSTO,18.77216248,27.09183592,10.45248905
250,EL CARMEN DE LA FRONTERA,2003,AGOSTO,23.54591837,30.50954575,16.58229098
251,HUARMACA,2003,AGOSTO,18.90384615,24.42183623,13.38585608
252,LALAQUIZ,2003,AGOSTO,20.97840910,27.83636364,14.12045455
253,SAN MIGUEL DE EL FAIQUE,2003,AGOSTO,27.17624683,33.20512829,21.14736537
254,SONDOR,2003,AGOSTO,23.85971602,30.81557894,16.90385309
255,SONDORILLO,2003,AGOSTO,29.41344086,35.65077013,23.17611160
256,AYABACA,2003,AGOSTO,29.94022211,37.49328485,22.38715937
257,FRIAS,2003,AGOSTO,28.31066667,34.09911111,22.52222222
258,JILILI,2003,AGOSTO,27.19155394,33.44205689,20.94105099
259,LAGUNAS,2003,AGOSTO,15.61258064,23.23112903,7.99403226
260,MONTERO,2003,AGOSTO,25.39621864,31.37291039,19.41952688
261,PACAIPAMPA,2003,AGOSTO,28.18037975,34.49746835,21.86329114
262,PAIMAS,2003,AGOSTO,18.92712446,25.91127600,11.94297292
263,SAPILLICA,2003,AGOSTO,23.28717537,30.06659025,16.50776049
264,PAITA,2003,SEPTIEMBRE,19.29424638,25.62927053,12.95922222
265,AMOTAPE,2003,SEPTIEMBRE,24.59736134,32.75644955,16.43827313
266,COLAN,2003,SEPTIEMBRE,27.21290841,33.87139930,20.55441753
267,EL ARENAL,2003,SEPTIEMBRE,27.24467320,33.51346405,20.97588235
268,LA HUACA,2003,SEPTIEMBRE,24.42961256,30.96547511,17.89375000
269,TAMARINDO,2003,SEPTIEMBRE,27.16774295,32.70363636,21.63184953
270,VICHAYAL,2003,SEPTIEMBRE,24.64007482,30.66735849,18.61279115
271,CHULUCANAS,2003,SEPTIEMBRE,22.57779031,29.52085213,15.63472849
272,BUENOS AIRES,2003,SEPTIEMBRE,16.74583333,22.37333333,11.11833333
273,CHALACO,2003,SEPTIEMBRE,20.04884721,26.89214623,13.20554819
274,LA MATANZA,2003,SEPTIEMBRE,19.37370189,25.83163036,12.91577342
275,MORROPON,2003,SEPTIEMBRE,25.25819052,31.05782683,19.45855421
276,SALITRAL,2003,SEPTIEMBRE,18.34182692,24.37820513,12.30544872
277,SAN JUAN DE BIGOTE,2003,SEPTIEMBRE,21.84976768,27.60540404,16.09413131
278,SANTA CATALINA DE MOSSA,2003,SEPTIEMBRE,16.24695780,22.40642579,10.08748982
279,SANTO DOMINGO,2003,SEPTIEMBRE,18.84398184,24.88503788,12.80292581
280,YAMANGO,2003,SEPTIEMBRE,21.58427083,27.64697917,15.52156250
281,HUANCABAMBA,2003,SEPTIEMBRE,26.08148148,31.91481481,20.24814815
282,CANCHAQUE,2003,SEPTIEMBRE,17.84310345,25.05287356,10.63333333
283,EL CARMEN DE LA FRONTERA,2003,SEPTIEMBRE,23.54761905,29.99387755,17.10136054
284,HUARMACA,2003,SEPTIEMBRE,18.50819444,23.18194444,13.83444444
285,LALAQUIZ,2003,SEPTIEMBRE,20.63061674,26.32334802,14.93788546
286,SAN MIGUEL DE EL FAIQUE,2003,SEPTIEMBRE,27.12338397,33.05208779,21.19468016
287,SONDOR,2003,SEPTIEMBRE,23.30248822,29.28768267,17.31729378
288,SONDORILLO,2003,SEPTIEMBRE,28.70738023,34.50620783,22.90855263
289,AYABACA,2003,SEPTIEMBRE,28.63310802,36.50647872,20.75973732
290,FRIAS,2003,SEPTIEMBRE,28.64566211,34.25684932,23.03447489
291,JILILI,2003,SEPTIEMBRE,26.30766667,31.81350000,20.80183333
292,LAGUNAS,2003,SEPTIEMBRE,15.86791667,22.43450000,9.30133333
293,MONTERO,2003,SEPTIEMBRE,25.17141558,30.70043290,19.64239827
294,PACAIPAMPA,2003,SEPTIEMBRE,28.22232143,33.93928571,22.50535714
295,PAIMAS,2003,SEPTIEMBRE,18.58498016,24.73083333,12.43912698
296,SAPILLICA,2003,SEPTIEMBRE,22.89484769,29.07498784,16.71470755
297,PAITA,2003,OCTUBRE,17.18655338,25.19703148,9.17607527
298,AMOTAPE,2003,OCTUBRE,19.60826613,28.92331989,10.29321237
299,COLAN,2003,OCTUBRE,25.06252578,32.48374929,17.64130228
300,EL ARENAL,2003,OCTUBRE,25.88529939,31.58321737,20.18738140
301,LA HUACA,2003,OCTUBRE,20.82358871,28.03830645,13.60887097
302,TAMARINDO,2003,OCTUBRE,26.09177664,31.93919844,20.24435484
303,VICHAYAL,2003,OCTUBRE,24.18729376,29.83736031,18.53722721
304,CHULUCANAS,2003,OCTUBRE,18.54992265,26.35078268,10.74906261
305,BUENOS AIRES,2003,OCTUBRE,16.18709677,22.19193548,10.18225806
306,CHALACO,2003,OCTUBRE,17.97330645,25.77854839,10.16806452
307,LA MATANZA,2003,OCTUBRE,18.17649167,25.59251529,10.76046806
308,MORROPON,2003,OCTUBRE,24.77071453,30.82402149,18.71740756
309,SALITRAL,2003,OCTUBRE,16.67323201,23.26426799,10.08219603
310,SAN JUAN DE BIGOTE,2003,OCTUBRE,20.37432796,27.33467742,13.41397849
311,SANTA CATALINA DE MOSSA,2003,OCTUBRE,15.47348724,22.51979760,8.42717689
312,SANTO DOMINGO,2003,OCTUBRE,17.73010339,24.47934657,10.98086022
313,YAMANGO,2003,OCTUBRE,21.41149844,27.93028096,14.89271592
314,HUANCABAMBA,2003,OCTUBRE,25.13148148,32.42246117,17.84050179
315,CANCHAQUE,2003,OCTUBRE,16.30105195,24.15250987,8.44959403
316,EL CARMEN DE LA FRONTERA,2003,OCTUBRE,22.99469824,29.25149980,16.73789667
317,HUARMACA,2003,OCTUBRE,17.32459677,21.97849462,12.67069892
318,LALAQUIZ,2003,OCTUBRE,18.40039683,24.92976190,11.87103175
319,SAN MIGUEL DE EL FAIQUE,2003,OCTUBRE,26.47915419,32.05806452,20.90024386
320,SONDOR,2003,OCTUBRE,21.14650965,27.79126428,14.50175502
321,SONDORILLO,2003,OCTUBRE,27.43762062,34.34855252,20.52668872
322,AYABACA,2003,OCTUBRE,25.41681370,34.10393531,16.72969208
323,FRIAS,2003,OCTUBRE,26.91114520,31.46830266,22.35398773
324,JILILI,2003,OCTUBRE,23.68800104,29.42165899,17.95434310
325,LAGUNAS,2003,OCTUBRE,14.83537634,22.34021505,7.33053763
326,MONTERO,2003,OCTUBRE,23.58592419,28.64900640,18.52284198
327,PACAIPAMPA,2003,OCTUBRE,26.95415861,32.53442940,21.37388781
328,PAIMAS,2003,OCTUBRE,16.42860474,24.14617178,8.71103770
329,SAPILLICA,2003,OCTUBRE,21.22503183,27.93327142,14.51679223
330,PAITA,2003,NOVIEMBRE,15.94761111,25.50638889,6.38883333
331,AMOTAPE,2003,NOVIEMBRE,14.81174968,22.60983397,7.01366539
332,COLAN,2003,NOVIEMBRE,20.98004441,28.93091100,13.02917781
333,EL ARENAL,2003,NOVIEMBRE,24.16912666,29.82896326,18.50929006
334,LA HUACA,2003,NOVIEMBRE,18.66250000,26.92187500,10.40312500
335,TAMARINDO,2003,NOVIEMBRE,26.78236111,33.40055556,20.16416667
336,VICHAYAL,2003,NOVIEMBRE,23.40031046,29.43248366,17.36813725
337,CHULUCANAS,2003,NOVIEMBRE,15.87213854,24.29146400,7.45281307
338,BUENOS AIRES,2003,NOVIEMBRE,15.32750000,22.29833333,8.35666667
339,CHALACO,2003,NOVIEMBRE,16.19471749,25.47916667,6.91026832
340,LA MATANZA,2003,NOVIEMBRE,16.82322484,25.47833333,8.16811635
341,MORROPON,2003,NOVIEMBRE,24.44561549,31.30533883,17.58589215
342,SALITRAL,2003,NOVIEMBRE,15.25051282,23.09358974,7.40743590
343,SAN JUAN DE BIGOTE,2003,NOVIEMBRE,19.36443169,28.07752381,10.65133956
344,SANTA CATALINA DE MOSSA,2003,NOVIEMBRE,14.27091667,22.73866667,5.80316667
345,SANTO DOMINGO,2003,NOVIEMBRE,16.63958333,24.74469697,8.53446970
346,YAMANGO,2003,NOVIEMBRE,20.20387097,27.91677419,12.49096774
347,HUANCABAMBA,2003,NOVIEMBRE,24.09425926,32.91111111,15.27740741
348,CANCHAQUE,2003,NOVIEMBRE,14.78705832,22.97041294,6.60370370
349,EL CARMEN DE LA FRONTERA,2003,NOVIEMBRE,23.44265131,30.21560362,16.66969901
350,HUARMACA,2003,NOVIEMBRE,15.46180556,21.27222222,9.65138889
351,LALAQUIZ,2003,NOVIEMBRE,17.77863248,25.20213675,10.35512821
352,SAN MIGUEL DE EL FAIQUE,2003,NOVIEMBRE,24.64630582,29.91068168,19.38192996
353,SONDOR,2003,NOVIEMBRE,19.31826786,26.96227373,11.67426199
354,SONDORILLO,2003,NOVIEMBRE,23.99375468,32.74113786,15.24637149
355,AYABACA,2003,NOVIEMBRE,18.60807523,28.29614297,8.92000749
356,FRIAS,2003,NOVIEMBRE,25.58408018,30.41179245,20.75636792
357,JILILI,2003,NOVIEMBRE,21.76322596,28.35794585,15.16850607
358,LAGUNAS,2003,NOVIEMBRE,13.57241667,22.58316667,4.56166667
