ENTIDAD,Mes,Precipitacion,Ano
PACAIPAMPA,11,52.2,2003
PAIMAS,11,1.5,2003
PAITA,12,0,2003
AMOTAPE,12,1.9,2003
COLÁN,12,1.9,2003
EL ARENAL,12,1.9,2003
CHULUCANAS,12,1.9,2003
BUENOS AIRES,12,0,2003
LA HUACA,12,53.1,2003
TAMARINDO,12,0,2003
VICHAYAL,12,0.1,2003
CHALACO,12,0,2003
MORROPÓN,12,0.1,2003
SALITRAL,12,0.4,2003
SAN JUAN DE BIGOTES,12,2.5,2003
SANTA CATALINA DE MOSSA,12,0,2003
LA MATANZA,12,0,2003
SANTO DOMINGO,12,0,2003
MONTERO,12,0,2003
HUANCABAMBA,12,0,2003
CANCHAQUE,12,15.4,2003
CARMEN DE LA FRONTERA,12,10.5,2003
HUARMACA,12,27.1,2003
LALAQUIZ,12,0.1,2003
SAN MIGUEL DEL FAIQUE,12,46.5,2003
SAPILLICA,12,10.3,2003
SONDOR,12,0,2003
SONDORILLO,12,1.3,2003
AYABACA,12,119.4,2003
FRIAS,12,5.6,2003
JILILÍ,12,0.5,2003
LAGUNAS,12,48.5,2003
PACAIPAMPA,12,16.3,2003
PAIMAS,12,0.1,2003
PAITA,1,32.09789724,2004
AMOTAPE,1,10.23909979,2004
COLÁN,1,37.44698727,2004
EL ARENAL,1,9.088167517,2004
CHULUCANAS,1,19.03253804,2004
BUENOS AIRES,1,41.56325837,2004
LA HUACA,1,45.68925053,2004
TAMARINDO,1,38.39946256,2004
VICHAYAL,1,25.49095991,2004
CHALACO,1,43.53758544,2004
MORROPÓN,1,35.55373183,2004
SALITRAL,1,47.56027435,2004
SAN JUAN DE BIGOTES,1,7.156503071,2004
SANTA CATALINA DE MOSSA,1,33.44011475,2004
LA MATANZA,1,16.08759653,2004
SANTO DOMINGO,1,30.42623654,2004
MONTERO,1,26.64544348,2004
HUANCABAMBA,1,70.53717232,2004
CANCHAQUE,1,14.1668529,2004
CARMEN DE LA FRONTERA,1,20.86740818,2004
HUARMACA,1,29.44925257,2004
LALAQUIZ,1,19.12686732,2004
SAN MIGUEL DEL FAIQUE,1,8.644418833,2004
SAPILLICA,1,18.55545866,2004
SONDOR,1,77.21275559,2004
SONDORILLO,1,33.8146534,2004
AYABACA,1,168.8221453,2004
FRIAS,1,30.49555092,2004
JILILÍ,1,10.69648162,2004
LAGUNAS,1,44.58271309,2004
PACAIPAMPA,1,7.821850854,2004
PAIMAS,1,34.03510881,2004
PAITA,2,1.413713751,2004
AMOTAPE,2,82.28142309,2004
COLÁN,2,5.418008645,2004
EL ARENAL,2,62.44111763,2004
CHULUCANAS,2,15.63912193,2004
BUENOS AIRES,2,0,2004
LA HUACA,2,42.34225886,2004
TAMARINDO,2,18.71017111,2004
VICHAYAL,2,0.137172427,2004
CHALACO,2,6.687072552,2004
MORROPÓN,2,0.242771912,2004
SALITRAL,2,0,2004
SAN JUAN DE BIGOTES,2,3.577087477,2004
SANTA CATALINA DE MOSSA,2,0.321251876,2004
LA MATANZA,2,0.012716636,2004
SANTO DOMINGO,2,0,2004
MONTERO,2,0.000376789,2004
HUANCABAMBA,2,2.044239741,2004
CANCHAQUE,2,12.21606242,2004
CARMEN DE LA FRONTERA,2,22.73114481,2004
HUARMACA,2,8.726141829,2004
LALAQUIZ,2,0,2004
SAN MIGUEL DEL FAIQUE,2,52.69661109,2004
SAPILLICA,2,5.129069884,2004
SONDOR,2,14.79458388,2004
SONDORILLO,2,8.999379834,2004
AYABACA,2,108.6021952,2004
FRIAS,2,9.674157286,2004
JILILÍ,2,1.292010186,2004
LAGUNAS,2,28.1344217,2004
PACAIPAMPA,2,24.58379043,2004
PAIMAS,2,2.764939385,2004
PAITA,3,31.6,2004
AMOTAPE,3,12.9,2004
COLÁN,3,4.4,2004
EL ARENAL,3,19.2,2004
CHULUCANAS,3,70.1,2004
BUENOS AIRES,3,3,2004
LA HUACA,3,31.1,2004
TAMARINDO,3,36.5,2004
VICHAYAL,3,23,2004
CHALACO,3,30.1,2004
MORROPÓN,3,21.6,2004
SALITRAL,3,7.4,2004
SAN JUAN DE BIGOTES,3,35,2004
SANTA CATALINA DE MOSSA,3,9.9,2004
LA MATANZA,3,0,2004
SANTO DOMINGO,3,11.6,2004
MONTERO,3,4.3,2004
HUANCABAMBA,3,0.3,2004
CANCHAQUE,3,85.3,2004
CARMEN DE LA FRONTERA,3,26.4,2004
HUARMACA,3,66.2,2004
LALAQUIZ,3,28.5,2004
SAN MIGUEL DEL FAIQUE,3,62,2004
SAPILLICA,3,0,2004
SONDOR,3,11.3,2004
SONDORILLO,3,13.6,2004
AYABACA,3,85.2,2004
FRIAS,3,59.3,2004
JILILÍ,3,33.4,2004
LAGUNAS,3,69.1,2004
PACAIPAMPA,3,11.2,2004
PAIMAS,3,33.2,2004
PAITA,4,0,2004
AMOTAPE,4,5.4,2004
COLÁN,4,0,2004
EL ARENAL,4,8.7,2004
CHULUCANAS,4,81.6,2004
BUENOS AIRES,4,0,2004
LA HUACA,4,42.8,2004
TAMARINDO,4,25.5,2004
VICHAYAL,4,18.9,2004
CHALACO,4,7.4,2004
MORROPÓN,4,4.4,2004
SALITRAL,4,2.2,2004
SAN JUAN DE BIGOTES,4,49.9,2004
SANTA CATALINA DE MOSSA,4,0.2,2004
LA MATANZA,4,11.4,2004
SANTO DOMINGO,4,0.6,2004
MONTERO,4,5.4,2004
HUANCABAMBA,4,0,2004
CANCHAQUE,4,123.9,2004
CARMEN DE LA FRONTERA,4,66,2004
HUARMACA,4,76.4,2004
LALAQUIZ,4,9,2004
SAN MIGUEL DEL FAIQUE,4,55.4,2004
SAPILLICA,4,33.6,2004
SONDOR,4,1.3,2004
SONDORILLO,4,14.7,2004
AYABACA,4,122.6,2004
FRIAS,4,101.3,2004
JILILÍ,4,45.9,2004
LAGUNAS,4,71.1,2004
PACAIPAMPA,4,69.9,2004
PAIMAS,4,1.4,2004
PAITA,5,46.79859191,2004
AMOTAPE,5,0,2004
COLÁN,5,0,2004
EL ARENAL,5,184.1088742,2004
CHULUCANAS,5,25.09358131,2004
BUENOS AIRES,5,10.34455446,2004
LA HUACA,5,193.8034829,2004
TAMARINDO,5,3.355206062,2004
VICHAYAL,5,48.19301607,2004
CHALACO,5,9.079091899,2004
MORROPÓN,5,61.69099636,2004
SALITRAL,5,107.4448702,2004
SAN JUAN DE BIGOTES,5,59.70645015,2004
SANTA CATALINA DE MOSSA,5,46.66994173,2004
LA MATANZA,5,60.41157764,2004
SANTO DOMINGO,5,57.49704806,2004
MONTERO,5,62.72165325,2004
HUANCABAMBA,5,1.725540141,2004
CANCHAQUE,5,27.73037194,2004
CARMEN DE LA FRONTERA,5,87.38503507,2004
HUARMACA,5,93.75103852,2004
LALAQUIZ,5,58.41341053,2004
SAN MIGUEL DEL FAIQUE,5,115.1758176,2004
SAPILLICA,5,84.55599556,2004
SONDOR,5,0.230958356,2004
SONDORILLO,5,2.611993134,2004
AYABACA,5,252.7503773,2004
FRIAS,5,76.70902368,2004
JILILÍ,5,93.82511409,2004
LAGUNAS,5,143.3902514,2004
PACAIPAMPA,5,104.8537995,2004
PAIMAS,5,38.62914622,2004
PAITA,6,216.3,2004
AMOTAPE,6,0,2004
COLÁN,6,0,2004
EL ARENAL,6,118.4,2004
CHULUCANAS,6,85.6,2004
BUENOS AIRES,6,157.4,2004
LA HUACA,6,250.2,2004
TAMARINDO,6,74.9,2004
VICHAYAL,6,142.3,2004
CHALACO,6,78.9,2004
MORROPÓN,6,199.8,2004
SALITRAL,6,216.9,2004
SAN JUAN DE BIGOTES,6,159.9,2004
SANTA CATALINA DE MOSSA,6,273.1,2004
LA MATANZA,6,176.9,2004
SANTO DOMINGO,6,206.8,2004
MONTERO,6,234,2004
HUANCABAMBA,6,223.2,2004
CANCHAQUE,6,68.2,2004
CARMEN DE LA FRONTERA,6,262.7,2004
HUARMACA,6,218.5,2004
LALAQUIZ,6,181.3,2004
SAN MIGUEL DEL FAIQUE,6,249.9,2004
SAPILLICA,6,241.2,2004
SONDOR,6,47.5,2004
SONDORILLO,6,12.3,2004
AYABACA,6,118.8,2004
FRIAS,6,179.5,2004
JILILÍ,6,129.7,2004
LAGUNAS,6,226.8,2004
PACAIPAMPA,6,134.6,2004
PAIMAS,6,164.7,2004
PAITA,7,128.8,2004
AMOTAPE,7,0,2004
COLÁN,7,18.9,2004
EL ARENAL,7,196.2,2004
CHULUCANAS,7,46.8,2004
BUENOS AIRES,7,205.6,2004
LA HUACA,7,249.1,2004
TAMARINDO,7,165.5,2004
VICHAYAL,7,115.7,2004
CHALACO,7,136.4,2004
MORROPÓN,7,131.3,2004
SALITRAL,7,177.2,2004
SAN JUAN DE BIGOTES,7,78.3,2004
SANTA CATALINA DE MOSSA,7,153.7,2004
LA MATANZA,7,119.8,2004
SANTO DOMINGO,7,155,2004
MONTERO,7,268.2,2004
HUANCABAMBA,7,348.1,2004
CANCHAQUE,7,50.1,2004
CARMEN DE LA FRONTERA,7,219.6,2004
HUARMACA,7,187.1,2004
LALAQUIZ,7,117.4,2004
SAN MIGUEL DEL FAIQUE,7,100,2004
SAPILLICA,7,106.9,2004
SONDOR,7,187.5,2004
SONDORILLO,7,152.3,2004
AYABACA,7,123.3,2004
FRIAS,7,44.7,2004
JILILÍ,7,92.2,2004
LAGUNAS,7,144.2,2004
PACAIPAMPA,7,197.1,2004
PAIMAS,7,102.3,2004
PAITA,8,94,2004
AMOTAPE,8,1.4,2004
COLÁN,8,45.5,2004
EL ARENAL,8,160.7,2004
CHULUCANAS,8,77.1,2004
BUENOS AIRES,8,197.7,2004
LA HUACA,8,195.7,2004
TAMARINDO,8,132.1,2004
VICHAYAL,8,144.1,2004
CHALACO,8,130.3,2004
MORROPÓN,8,166.3,2004
SALITRAL,8,220.4,2004
SAN JUAN DE BIGOTES,8,96.6,2004
SANTA CATALINA DE MOSSA,8,232.9,2004
LA MATANZA,8,155.6,2004
SANTO DOMINGO,8,186.7,2004
MONTERO,8,238.1,2004
HUANCABAMBA,8,387,2004
CANCHAQUE,8,97.7,2004
CARMEN DE LA FRONTERA,8,233.6,2004
HUARMACA,8,212.3,2004
LALAQUIZ,8,94.6,2004
SAN MIGUEL DEL FAIQUE,8,52,2004
SAPILLICA,8,68.8,2004
SONDOR,8,198.4,2004
SONDORILLO,8,103.1,2004
AYABACA,8,222.8,2004
FRIAS,8,61.4,2004
JILILÍ,8,78.3,2004
LAGUNAS,8,200.9,2004
PACAIPAMPA,8,151.1,2004
PAIMAS,8,126.4,2004
PAITA,9,137.4,2004
AMOTAPE,9,0,2004
COLÁN,9,59,2004
EL ARENAL,9,211.2,2004
CHULUCANAS,9,74.5,2004
BUENOS AIRES,9,289.8,2004
LA HUACA,9,310.8,2004
TAMARINDO,9,99.9,2004
VICHAYAL,9,150.7,2004
CHALACO,9,140.1,2004
MORROPÓN,9,205.5,2004
SALITRAL,9,196.6,2004
SAN JUAN DE BIGOTES,9,55.1,2004
SANTA CATALINA DE MOSSA,9,260.8,2004
LA MATANZA,9,133.6,2004
SANTO DOMINGO,9,192.6,2004
MONTERO,9,250.4,2004
HUANCABAMBA,9,305,2004
CANCHAQUE,9,269.3,2004
CARMEN DE LA FRONTERA,9,195.7,2004
HUARMACA,9,232.3,2004
LALAQUIZ,9,146.3,2004
SAN MIGUEL DEL FAIQUE,9,208.2,2004
SAPILLICA,9,178,2004
SONDOR,9,155.9,2004
SONDORILLO,9,156.9,2004
AYABACA,9,312.4,2004
FRIAS,9,130.5,2004
JILILÍ,9,126.9,2004
LAGUNAS,9,204.1,2004
PACAIPAMPA,9,215.5,2004
PAIMAS,9,161.8,2004
PAITA,10,22,2004
AMOTAPE,10,147.9,2004
COLÁN,10,25.3,2004
EL ARENAL,10,159.2,2004
CHULUCANAS,10,38.8,2004
BUENOS AIRES,10,70,2004
LA HUACA,10,235.2,2004
TAMARINDO,10,69.9,2004
VICHAYAL,10,53.1,2004
CHALACO,10,26.9,2004
MORROPÓN,10,42.1,2004
SALITRAL,10,162.9,2004
SAN JUAN DE BIGOTES,10,72.5,2004
SANTA CATALINA DE MOSSA,10,27.1,2004
LA MATANZA,10,70.8,2004
SANTO DOMINGO,10,66.8,2004
MONTERO,10,112.8,2004
HUANCABAMBA,10,76,2004
CANCHAQUE,10,62,2004
CARMEN DE LA FRONTERA,10,174,2004
HUARMACA,10,145.1,2004
LALAQUIZ,10,39.2,2004
SAN MIGUEL DEL FAIQUE,10,121,2004
SAPILLICA,10,59.1,2004
SONDOR,10,104.2,2004
SONDORILLO,10,46.6,2004
AYABACA,10,190,2004
FRIAS,10,53.4,2004
JILILÍ,10,90.5,2004
LAGUNAS,10,210.8,2004
PACAIPAMPA,10,88.3,2004
PAIMAS,10,19.2,2004
PAITA,11,0.8,2004
AMOTAPE,11,16.7,2004
COLÁN,11,1.9,2004
EL ARENAL,11,76.7,2004
CHULUCANAS,11,58.4,2004
BUENOS AIRES,11,0.9,2004
LA HUACA,11,69.1,2004
TAMARINDO,11,59,2004
VICHAYAL,11,6.1,2004
CHALACO,11,33.2,2004
MORROPÓN,11,1.9,2004
SALITRAL,11,4,2004
SAN JUAN DE BIGOTES,11,8,2004
SANTA CATALINA DE MOSSA,11,0.8,2004
LA MATANZA,11,4.9,2004
SANTO DOMINGO,11,0.3,2004
MONTERO,11,4.9,2004
HUANCABAMBA,11,21.1,2004
CANCHAQUE,11,16.1,2004
CARMEN DE LA FRONTERA,11,17.1,2004
HUARMACA,11,14.5,2004
LALAQUIZ,11,1.3,2004
SAN MIGUEL DEL FAIQUE,11,46.2,2004
SAPILLICA,11,7.7,2004
SONDOR,11,61.2,2004
SONDORILLO,11,19.1,2004
AYABACA,11,136.3,2004
FRIAS,11,15,2004
JILILÍ,11,3.7,2004
LAGUNAS,11,81.4,2004
PACAIPAMPA,11,24.9,2004
PAIMAS,11,2.5,2004
PAITA,12,0.1,2004
AMOTAPE,12,80.7,2004
COLÁN,12,5.5,2004
EL ARENAL,12,19.3,2004
CHULUCANAS,12,1.5,2004
BUENOS AIRES,12,1.7,2004
LA HUACA,12,48,2004
TAMARINDO,12,21.6,2004
VICHAYAL,12,0.9,2004
CHALACO,12,2.1,2004
MORROPÓN,12,7.5,2004
SALITRAL,12,1.6,2004
SAN JUAN DE BIGOTES,12,3.7,2004
SANTA CATALINA DE MOSSA,12,10.6,2004
LA MATANZA,12,1.6,2004
SANTO DOMINGO,12,8.4,2004
MONTERO,12,0.1,2004
HUANCABAMBA,12,0.1,2004
CANCHAQUE,12,3.5,2004
CARMEN DE LA FRONTERA,12,14.6,2004
HUARMACA,12,18,2004
LALAQUIZ,12,3.4,2004
SAN MIGUEL DEL FAIQUE,12,16,2004
SAPILLICA,12,7.2,2004
SONDOR,12,12.6,2004
SONDORILLO,12,9.7,2004
AYABACA,12,122.5,2004
FRIAS,12,10.9,2004
JILILÍ,12,0,2004
LAGUNAS,12,58.5,2004
PACAIPAMPA,12,9,2004
PAIMAS,12,1.9,2004
PAITA,1,0,2005
AMOTAPE,1,49.6,2005
COLÁN,1,2.7,2005
EL ARENAL,1,3.9,2005
CHULUCANAS,1,25.5,2005
BUENOS AIRES,1,23,2005
LA HUACA,1,8.5,2005
TAMARINDO,1,47.1,2005
VICHAYAL,1,5.9,2005
CHALACO,1,16.8,2005
MORROPÓN,1,7.5,2005
SALITRAL,1,18,2005
SAN JUAN DE BIGOTES,1,15.6,2005
SANTA CATALINA DE MOSSA,1,6.1,2005
LA MATANZA,1,9.4,2005
