Distrito;Mes;Año;Tipo_sequia
Paita;10;2014;NPS
Paita;10;2015;NPS
Paita;10;2016;NPS
Paita;10;2017;NPS
Paita;10;2018;NPS
Paita;10;2019;D1
Paita;10;2020;D0
Paita;11;2003;NPS
Paita;11;2004;NPS
Paita;11;2005;NPS
Paita;11;2006;NPS
Paita;11;2007;NPS
Paita;11;2008;NPS
Paita;11;2009;D0
Paita;11;2010;NPS
Paita;11;2011;D3
Paita;11;2012;NPS
Paita;11;2013;NPS
Paita;11;2014;NPS
Paita;11;2015;NPS
Paita;11;2016;NPS
Paita;11;2017;NPS
Paita;11;2018;NPS
Paita;11;2019;NPS
Paita;11;2020;D0
Paita;12;2003;NPS
Paita;12;2004;NPS
Paita;12;2005;D0
Paita;12;2006;NPS
Paita;12;2007;NPS
Paita;12;2008;NPS
Paita;12;2009;NPS
Paita;12;2010;NPS
Paita;12;2011;D3
Paita;12;2012;NPS
Paita;12;2013;NPS
Paita;12;2014;NPS
Paita;12;2015;NPS
Paita;12;2016;NPS
Paita;12;2017;NPS
Paita;12;2018;NPS
Paita;12;2019;NPS
Paita;12;2020;D1
Amotape;1;2003;D0
Amotape;1;2004;D0
Amotape;1;2005;NPS
Amotape;1;2006;D0
Amotape;1;2007;D2
Amotape;1;2008;D1
Amotape;1;2009;D1
Amotape;1;2010;D0
Amotape;1;2011;NPS
Amotape;1;2012;NPS
Amotape;1;2013;D0
Amotape;1;2014;D2
Amotape;1;2015;D3
Amotape;1;2016;D3
Amotape;1;2017;D2
Amotape;1;2018;D1
Amotape;1;2019;D1
Amotape;1;2020;NPS
Amotape;1;2021;D0
Amotape;2;2003;D0
Amotape;2;2004;NPS
Amotape;2;2005;NPS
Amotape;2;2006;D0
Amotape;2;2007;D1
Amotape;2;2008;NPS
Amotape;2;2009;D1
Amotape;2;2010;NPS
Amotape;2;2011;NPS
Amotape;2;2012;NPS
Amotape;2;2013;D0
Amotape;2;2014;D2
Amotape;2;2015;D3
Amotape;2;2016;D3
Amotape;2;2017;D2
Amotape;2;2018;D1
Amotape;2;2019;D0
Amotape;2;2020;NPS
Amotape;2;2021;D0
Amotape;3;2003;NPS
Amotape;3;2004;D0
Amotape;3;2005;NPS
Amotape;3;2006;D0
Amotape;3;2007;D1
Amotape;3;2008;D1
Amotape;3;2009;D0
Amotape;3;2010;NPS
Amotape;3;2011;NPS
Amotape;3;2012;D0
Amotape;3;2013;D0
Amotape;3;2014;D0
Amotape;3;2015;D3
Amotape;3;2016;D3
Amotape;3;2017;NPS
Amotape;3;2018;D1
Amotape;3;2019;D0
Amotape;3;2020;NPS
Amotape;3;2021;D0
Amotape;4;2003;NPS
Amotape;4;2004;D1
Amotape;4;2005;NPS
Amotape;4;2006;D0
Amotape;4;2007;D2
Amotape;4;2008;D0
Amotape;4;2009;D1
Amotape;4;2010;NPS
Amotape;4;2011;NPS
Amotape;4;2012;NPS
Amotape;4;2013;D0
Amotape;4;2014;D0
Amotape;4;2015;D3
Amotape;4;2016;D3
Amotape;4;2017;NPS
Amotape;4;2018;D1
Amotape;4;2019;D0
Amotape;4;2020;NPS
Amotape;4;2021;D0
Amotape;5;2003;NPS
Amotape;5;2004;D1
Amotape;5;2005;NPS
Amotape;5;2006;NPS
Amotape;5;2007;D3
Amotape;5;2008;D1
Amotape;5;2009;D2
Amotape;5;2010;NPS
Amotape;5;2011;NPS
Amotape;5;2012;NPS
Amotape;5;2013;D0
Amotape;5;2014;D2
Amotape;5;2015;D2
Amotape;5;2016;D3
Amotape;5;2017;NPS
Amotape;5;2018;D2
Amotape;5;2019;D0
Amotape;5;2020;NPS
Amotape;5;2021;D1
Amotape;6;2003;NPS
Amotape;6;2004;D1
Amotape;6;2005;NPS
Amotape;6;2006;NPS
Amotape;6;2007;D3
Amotape;6;2008;D1
Amotape;6;2009;D2
Amotape;6;2010;NPS
Amotape;6;2011;NPS
Amotape;6;2012;NPS
Amotape;6;2013;D0
Amotape;6;2014;D3
Amotape;6;2015;D2
Amotape;6;2016;D3
Amotape;6;2017;D0
Amotape;6;2018;D2
Amotape;6;2019;D0
Amotape;6;2020;NPS
Amotape;6;2021;D1
Amotape;7;2003;NPS
Amotape;7;2004;D1
Amotape;7;2005;NPS
Amotape;7;2006;NPS
Amotape;7;2007;D4
Amotape;7;2008;D1
Amotape;7;2009;D2
Amotape;7;2010;NPS
Amotape;7;2011;NPS
Amotape;7;2012;NPS
Amotape;7;2013;D1
Amotape;7;2014;D3
Amotape;7;2015;D2
Amotape;7;2016;D3
Amotape;7;2017;D0
Amotape;7;2018;D2
Amotape;7;2019;D0
Amotape;7;2020;NPS
Amotape;7;2021;D1
Amotape;8;2003;NPS
Amotape;8;2004;D1
Amotape;8;2005;NPS
Amotape;8;2006;D0
Amotape;8;2007;D3
Amotape;8;2008;D1
Amotape;8;2009;D2
Amotape;8;2010;NPS
Amotape;8;2011;NPS
Amotape;8;2012;NPS
Amotape;8;2013;D1
Amotape;8;2014;D3
Amotape;8;2015;D3
Amotape;8;2016;D3
Amotape;8;2017;D0
Amotape;8;2018;D2
Amotape;8;2019;D0
Amotape;8;2020;D0
Amotape;8;2021;D1
Amotape;9;2003;NPS
Amotape;9;2004;D2
Amotape;9;2005;NPS
Amotape;9;2006;D0
Amotape;9;2007;D3
Amotape;9;2008;D2
Amotape;9;2009;D2
Amotape;9;2010;NPS
Amotape;9;2011;NPS
Amotape;9;2012;NPS
Amotape;9;2013;D1
Amotape;9;2014;D3
Amotape;9;2015;D3
Amotape;9;2016;D3
Amotape;9;2017;D0
Amotape;9;2018;D2
Amotape;9;2019;NPS
Amotape;9;2020;D0
Amotape;10;2003;D0
Amotape;10;2004;D0
Amotape;10;2005;NPS
Amotape;10;2006;D1
Amotape;10;2007;D3
Amotape;10;2008;D2
Amotape;10;2009;D2
Amotape;10;2010;NPS
Amotape;10;2011;D0
Amotape;10;2012;NPS
Amotape;10;2013;D1
Amotape;10;2014;D3
Amotape;10;2015;D3
Amotape;10;2016;D3
Amotape;10;2017;D0
Amotape;10;2018;D2
Amotape;10;2019;NPS
Amotape;10;2020;D0
Amotape;11;2003;D0
Amotape;11;2004;D0
Amotape;11;2005;NPS
Amotape;11;2006;D2
Amotape;11;2007;D2
Amotape;11;2008;D2
Amotape;11;2009;D2
Amotape;11;2010;NPS
Amotape;11;2011;NPS
Amotape;11;2012;D0
Amotape;11;2013;NPS
Amotape;11;2014;D3
Amotape;11;2015;D3
Amotape;11;2016;D3
Amotape;11;2017;D1
Amotape;11;2018;D2
Amotape;11;2019;D0
Amotape;11;2020;NPS
Amotape;12;2003;D0
Amotape;12;2004;NPS
Amotape;12;2005;NPS
Amotape;12;2006;D1
Amotape;12;2007;D2
Amotape;12;2008;D1
Amotape;12;2009;D1
Amotape;12;2010;NPS
Amotape;12;2011;NPS
Amotape;12;2012;D0
Amotape;12;2013;NPS
Amotape;12;2014;D3
Amotape;12;2015;D3
Amotape;12;2016;D3
Amotape;12;2017;D1
Amotape;12;2018;D2
Amotape;12;2019;NPS
Amotape;12;2020;D0
Chulucanas;1;2003;NPS
Chulucanas;1;2004;NPS
Chulucanas;1;2005;NPS
Chulucanas;1;2006;D0
Chulucanas;1;2007;NPS
Chulucanas;1;2008;D1
Chulucanas;1;2009;NPS
Chulucanas;1;2010;NPS
Chulucanas;1;2011;D1
Chulucanas;1;2012;D1
Chulucanas;1;2013;NPS
Chulucanas;1;2014;NPS
Chulucanas;1;2015;NPS
Chulucanas;1;2016;NPS
Chulucanas;1;2017;NPS
Chulucanas;1;2018;D0
Chulucanas;1;2019;D0
Chulucanas;1;2020;NPS
Chulucanas;1;2021;D1
Chulucanas;2;2003;NPS
Chulucanas;2;2004;NPS
Chulucanas;2;2005;NPS
Chulucanas;2;2006;D0
Chulucanas;2;2007;D0
Chulucanas;2;2008;D1
Chulucanas;2;2009;NPS
Chulucanas;2;2010;NPS
Chulucanas;2;2011;D1
Chulucanas;2;2012;D1
Chulucanas;2;2013;NPS
Chulucanas;2;2014;NPS
Chulucanas;2;2015;NPS
Chulucanas;2;2016;NPS
Chulucanas;2;2017;NPS
Chulucanas;2;2018;D0
Chulucanas;2;2019;D0
Chulucanas;2;2020;NPS
Chulucanas;2;2021;D1
Chulucanas;3;2003;NPS
Chulucanas;3;2004;NPS
Chulucanas;3;2005;NPS
Chulucanas;3;2006;D0
Chulucanas;3;2007;D1
Chulucanas;3;2008;D1
Chulucanas;3;2009;NPS
Chulucanas;3;2010;NPS
Chulucanas;3;2011;D1
Chulucanas;3;2012;D1
Chulucanas;3;2013;NPS
Chulucanas;3;2014;NPS
Chulucanas;3;2015;NPS
Chulucanas;3;2016;NPS
Chulucanas;3;2017;NPS
Chulucanas;3;2018;D1
Chulucanas;3;2019;D0
Chulucanas;3;2020;NPS
Chulucanas;3;2021;D1
Chulucanas;4;2003;NPS
Chulucanas;4;2004;NPS
Chulucanas;4;2005;NPS
Chulucanas;4;2006;D1
Chulucanas;4;2007;D1
Chulucanas;4;2008;D1
Chulucanas;4;2009;NPS
Chulucanas;4;2010;NPS
Chulucanas;4;2011;D1
Chulucanas;4;2012;D1
Chulucanas;4;2013;NPS
Chulucanas;4;2014;NPS
Chulucanas;4;2015;NPS
Chulucanas;4;2016;D0
Chulucanas;4;2017;NPS
Chulucanas;4;2018;D1
Chulucanas;4;2019;D0
Chulucanas;4;2020;NPS
Chulucanas;4;2021;D2
Chulucanas;5;2003;NPS
Chulucanas;5;2004;NPS
Chulucanas;5;2005;NPS
Chulucanas;5;2006;D1
Chulucanas;5;2007;D0
Chulucanas;5;2008;D1
Chulucanas;5;2009;NPS
Chulucanas;5;2010;NPS
Chulucanas;5;2011;D1
Chulucanas;5;2012;D0
Chulucanas;5;2013;NPS
Chulucanas;5;2014;NPS
Chulucanas;5;2015;NPS
Chulucanas;5;2016;D0
Chulucanas;5;2017;NPS
Chulucanas;5;2018;D1
Chulucanas;5;2019;NPS
Chulucanas;5;2020;NPS
Chulucanas;5;2021;D2
Chulucanas;6;2003;NPS
Chulucanas;6;2004;NPS
Chulucanas;6;2005;NPS
Chulucanas;6;2006;D2
Chulucanas;6;2007;D0
Chulucanas;6;2008;D2
Chulucanas;6;2009;NPS
Chulucanas;6;2010;NPS
Chulucanas;6;2011;D1
Chulucanas;6;2012;D0
Chulucanas;6;2013;NPS
Chulucanas;6;2014;NPS
Chulucanas;6;2015;NPS
Chulucanas;6;2016;D0
Chulucanas;6;2017;NPS
Chulucanas;6;2018;NPS
Chulucanas;6;2019;NPS
Chulucanas;6;2020;NPS
Chulucanas;6;2021;D2
Chulucanas;7;2003;NPS
Chulucanas;7;2004;NPS
Chulucanas;7;2005;NPS
Chulucanas;7;2006;D0
Chulucanas;7;2007;D2
Chulucanas;7;2008;D2
Chulucanas;7;2009;D0
Chulucanas;7;2010;NPS
Chulucanas;7;2011;D1
Chulucanas;7;2012;D0
Chulucanas;7;2013;NPS
Chulucanas;7;2014;NPS
Chulucanas;7;2015;NPS
Chulucanas;7;2016;D0
Chulucanas;7;2017;NPS
Chulucanas;7;2018;NPS
Chulucanas;7;2019;D0
Chulucanas;7;2020;NPS
Chulucanas;7;2021;D2
Chulucanas;8;2003;NPS
Chulucanas;8;2004;NPS
Chulucanas;8;2005;NPS
Chulucanas;8;2006;NPS
Chulucanas;8;2007;D2
Chulucanas;8;2008;NPS
Chulucanas;8;2009;D1
Chulucanas;8;2010;D0
Chulucanas;8;2011;D2
Chulucanas;8;2012;NPS
Chulucanas;8;2013;NPS
Chulucanas;8;2014;NPS
Chulucanas;8;2015;NPS
Chulucanas;8;2016;NPS
Chulucanas;8;2017;NPS
Chulucanas;8;2018;D0
Chulucanas;8;2019;D0
Chulucanas;8;2020;D0
Chulucanas;8;2021;NPS
Chulucanas;9;2003;NPS
Chulucanas;9;2004;NPS
Chulucanas;9;2005;D0
Chulucanas;9;2006;NPS
Chulucanas;9;2007;D0
Chulucanas;9;2008;NPS
Chulucanas;9;2009;NPS
Chulucanas;9;2010;D0
Chulucanas;9;2011;D1
Chulucanas;9;2012;NPS
Chulucanas;9;2013;NPS
Chulucanas;9;2014;NPS
Chulucanas;9;2015;NPS
Chulucanas;9;2016;NPS
Chulucanas;9;2017;NPS
Chulucanas;9;2018;NPS
Chulucanas;9;2019;NPS
Chulucanas;9;2020;D1
Chulucanas;10;2003;NPS
Chulucanas;10;2004;NPS
Chulucanas;10;2005;D0
Chulucanas;10;2006;NPS
Chulucanas;10;2007;D1
Chulucanas;10;2008;NPS
Chulucanas;10;2009;NPS
Chulucanas;10;2010;D0
Chulucanas;10;2011;D2
Chulucanas;10;2012;NPS
Chulucanas;10;2013;NPS
Chulucanas;10;2014;NPS
Chulucanas;10;2015;NPS
Chulucanas;10;2016;NPS
Chulucanas;10;2017;NPS
Chulucanas;10;2018;NPS
Chulucanas;10;2019;NPS
Chulucanas;10;2020;D1
Chulucanas;11;2003;NPS
Chulucanas;11;2004;NPS
Chulucanas;11;2005;NPS
Chulucanas;11;2006;NPS
Chulucanas;11;2007;D1
Chulucanas;11;2008;NPS
Chulucanas;11;2009;NPS
Chulucanas;11;2010;D1
Chulucanas;11;2011;D2
Chulucanas;11;2012;NPS
Chulucanas;11;2013;NPS
Chulucanas;11;2014;NPS
Chulucanas;11;2015;NPS
Chulucanas;11;2016;NPS
Chulucanas;11;2017;NPS
Chulucanas;11;2018;NPS
Chulucanas;11;2019;NPS
Chulucanas;11;2020;D1
Chulucanas;12;2003;NPS
Chulucanas;12;2004;NPS
Chulucanas;12;2005;D0
Chulucanas;12;2006;NPS
Chulucanas;12;2007;D1
Chulucanas;12;2008;NPS
Chulucanas;12;2009;NPS
Chulucanas;12;2010;D1
Chulucanas;12;2011;D2
Chulucanas;12;2012;NPS
Chulucanas;12;2013;NPS
Chulucanas;12;2014;NPS
Chulucanas;12;2015;NPS
Chulucanas;12;2016;NPS
Chulucanas;12;2017;NPS
Chulucanas;12;2018;NPS
Chulucanas;12;2019;NPS
Chulucanas;12;2020;D1
El arenal;1;2003;D0
El arenal;1;2004;NPS
El arenal;1;2005;D1
El arenal;1;2006;NPS
El arenal;1;2007;NPS
El arenal;1;2008;D1
El arenal;1;2009;D1
El arenal;1;2010;D2
El arenal;1;2011;NPS
El arenal;1;2012;NPS
El arenal;1;2013;NPS
El arenal;1;2014;NPS
El arenal;1;2015;NPS
El arenal;1;2016;NPS
El arenal;1;2017;D0
El arenal;1;2018;NPS
El arenal;1;2019;D0
El arenal;1;2020;NPS
El arenal;1;2021;NPS
El arenal;2;2003;D0
El arenal;2;2004;NPS
El arenal;2;2005;D1
El arenal;2;2006;NPS
El arenal;2;2007;NPS
El arenal;2;2008;D0
El arenal;2;2009;D1
El arenal;2;2010;D2
El arenal;2;2011;D0
El arenal;2;2012;NPS
El arenal;2;2013;NPS
El arenal;2;2014;NPS
El arenal;2;2015;NPS
El arenal;2;2016;D0
El arenal;2;2017;D0
El arenal;2;2018;NPS
El arenal;2;2019;D1
El arenal;2;2020;D0
El arenal;2;2021;NPS
El arenal;3;2003;NPS
El arenal;3;2004;NPS
El arenal;3;2005;D1
El arenal;3;2006;NPS
El arenal;3;2007;NPS
El arenal;3;2008;NPS
El arenal;3;2009;D1
El arenal;3;2010;D2
El arenal;3;2011;D0
El arenal;3;2012;D0
El arenal;3;2013;NPS
El arenal;3;2014;NPS
El arenal;3;2015;NPS
El arenal;3;2016;NPS
El arenal;3;2017;D1
El arenal;3;2018;NPS
El arenal;3;2019;D1
El arenal;3;2020;D1
El arenal;3;2021;NPS
El arenal;4;2003;NPS
El arenal;4;2004;NPS
El arenal;4;2005;D1
El arenal;4;2006;NPS
El arenal;4;2007;D0
El arenal;4;2008;D0
El arenal;4;2009;D1
El arenal;4;2010;D2
El arenal;4;2011;D1
El arenal;4;2012;NPS
El arenal;4;2013;D0
El arenal;4;2014;NPS
El arenal;4;2015;NPS
El arenal;4;2016;D0
El arenal;4;2017;D1
El arenal;4;2018;NPS
El arenal;4;2019;D1
El arenal;4;2020;D1
El arenal;4;2021;NPS
El arenal;5;2003;NPS
El arenal;5;2004;NPS
El arenal;5;2005;D0
El arenal;5;2006;NPS
El arenal;5;2007;D0
El arenal;5;2008;D0
El arenal;5;2009;D1
El arenal;5;2010;D2
El arenal;5;2011;D3
El arenal;5;2012;NPS
El arenal;5;2013;NPS
El arenal;5;2014;NPS
El arenal;5;2015;NPS
El arenal;5;2016;D1
El arenal;5;2017;D0
El arenal;5;2018;NPS
El arenal;5;2019;D1
El arenal;5;2020;NPS
El arenal;5;2021;NPS
El arenal;6;2003;D0
El arenal;6;2004;D0
El arenal;6;2005;NPS
El arenal;6;2006;NPS
El arenal;6;2007;D1
El arenal;6;2008;D0
El arenal;6;2009;D1
El arenal;6;2010;D2
El arenal;6;2011;D2
El arenal;6;2012;NPS
El arenal;6;2013;NPS
El arenal;6;2014;NPS
El arenal;6;2015;NPS
El arenal;6;2016;D1
El arenal;6;2017;D0
El arenal;6;2018;NPS
El arenal;6;2019;NPS
El arenal;6;2020;NPS
El arenal;6;2021;NPS
El arenal;7;2003;D0
El arenal;7;2004;NPS
El arenal;7;2005;NPS
El arenal;7;2006;NPS
El arenal;7;2007;D2
El arenal;7;2008;D0
El arenal;7;2009;D2
El arenal;7;2010;D0
El arenal;7;2011;D1
El arenal;7;2012;NPS
El arenal;7;2013;NPS
El arenal;7;2014;NPS
El arenal;7;2015;D0
El arenal;7;2016;D0
El arenal;7;2017;NPS
El arenal;7;2018;D0
El arenal;7;2019;NPS
El arenal;7;2020;NPS
El arenal;7;2021;NPS
El arenal;8;2003;NPS
El arenal;8;2004;D0
El arenal;8;2005;NPS
El arenal;8;2006;NPS
El arenal;8;2007;NPS
El arenal;8;2008;D1
El arenal;8;2009;D2
El arenal;8;2010;NPS
El arenal;8;2011;D1
El arenal;8;2012;NPS
El arenal;8;2013;NPS
El arenal;8;2014;NPS
El arenal;8;2015;D0
El arenal;8;2016;NPS
El arenal;8;2017;NPS
El arenal;8;2018;D0
El arenal;8;2019;D0
El arenal;8;2020;NPS
El arenal;8;2021;NPS
El arenal;9;2003;D0
El arenal;9;2004;D0
El arenal;9;2005;NPS
El arenal;9;2006;D0
El arenal;9;2007;D1
El arenal;9;2008;D1
El arenal;9;2009;D3
El arenal;9;2010;NPS
El arenal;9;2011;NPS
El arenal;9;2012;NPS
El arenal;9;2013;NPS
El arenal;9;2014;NPS
El arenal;9;2015;D0
El arenal;9;2016;NPS
El arenal;9;2017;NPS
El arenal;9;2018;D0
El arenal;9;2019;D0
El arenal;9;2020;D0
El arenal;10;2003;D0
El arenal;10;2004;D0
El arenal;10;2005;NPS
El arenal;10;2006;NPS
El arenal;10;2007;NPS
El arenal;10;2008;NPS
El arenal;10;2009;D3
El arenal;10;2010;NPS
El arenal;10;2011;NPS
El arenal;10;2012;NPS
El arenal;10;2013;NPS
El arenal;10;2014;NPS
El arenal;10;2015;D0
El arenal;10;2016;D0
El arenal;10;2017;NPS
El arenal;10;2018;NPS
El arenal;10;2019;NPS
El arenal;10;2020;NPS
El arenal;11;2003;NPS
El arenal;11;2004;D0
El arenal;11;2005;NPS
El arenal;11;2006;NPS
El arenal;11;2007;NPS
El arenal;11;2008;D0
El arenal;11;2009;D2
El arenal;11;2010;NPS
El arenal;11;2011;NPS
El arenal;11;2012;NPS
El arenal;11;2013;NPS
El arenal;11;2014;NPS
El arenal;11;2015;NPS
El arenal;11;2016;D1
El arenal;11;2017;NPS
El arenal;11;2018;D1
El arenal;11;2019;NPS
El arenal;11;2020;NPS
El arenal;12;2003;NPS
El arenal;12;2004;D0
El arenal;12;2005;D0
El arenal;12;2006;NPS
El arenal;12;2007;NPS
El arenal;12;2008;D0
El arenal;12;2009;D2
El arenal;12;2010;NPS
El arenal;12;2011;NPS
El arenal;12;2012;NPS
El arenal;12;2013;NPS
El arenal;12;2014;D0
El arenal;12;2015;NPS
El arenal;12;2016;D1
El arenal;12;2017;NPS
El arenal;12;2018;D0
El arenal;12;2019;NPS
El arenal;12;2020;NPS
Buenos Aires;1;2003;NPS
Buenos Aires;1;2004;NPS
Buenos Aires;1;2005;D1
Buenos Aires;1;2006;NPS
Buenos Aires;1;2007;NPS
Buenos Aires;1;2008;NPS
Buenos Aires;1;2009;D0
Buenos Aires;1;2010;D2
Buenos Aires;1;2011;NPS
Buenos Aires;1;2012;NPS
Buenos Aires;1;2013;NPS
Buenos Aires;1;2014;NPS
Buenos Aires;1;2015;NPS
Buenos Aires;1;2016;NPS
Buenos Aires;1;2017;NPS
Buenos Aires;1;2018;D0
Buenos Aires;1;2019;D0
Buenos Aires;1;2020;D0
Buenos Aires;1;2021;NPS
Buenos Aires;2;2003;NPS
Buenos Aires;2;2004;NPS
Buenos Aires;2;2005;D1
Buenos Aires;2;2006;NPS
Buenos Aires;2;2007;NPS
Buenos Aires;2;2008;NPS
Buenos Aires;2;2009;D0
Buenos Aires;2;2010;D3
Buenos Aires;2;2011;NPS
Buenos Aires;2;2012;NPS
Buenos Aires;2;2013;NPS
Buenos Aires;2;2014;NPS
Buenos Aires;2;2015;NPS
Buenos Aires;2;2016;NPS
Buenos Aires;2;2017;NPS
Buenos Aires;2;2018;NPS
Buenos Aires;2;2019;D0
Buenos Aires;2;2020;D0
Buenos Aires;2;2021;NPS
Buenos Aires;3;2003;NPS
Buenos Aires;3;2004;NPS
Buenos Aires;3;2005;D1
Buenos Aires;3;2006;NPS
Buenos Aires;3;2007;D0
Buenos Aires;3;2008;NPS
Buenos Aires;3;2009;D0
Buenos Aires;3;2010;D2
Buenos Aires;3;2011;NPS
Buenos Aires;3;2012;NPS
Buenos Aires;3;2013;NPS
Buenos Aires;3;2014;NPS
Buenos Aires;3;2015;NPS
Buenos Aires;3;2016;NPS
Buenos Aires;3;2017;NPS
Buenos Aires;3;2018;D0
Buenos Aires;3;2019;D1
Buenos Aires;3;2020;D0
Buenos Aires;3;2021;NPS
Buenos Aires;4;2003;NPS
Buenos Aires;4;2004;NPS
Buenos Aires;4;2005;D1
Buenos Aires;4;2006;NPS
Buenos Aires;4;2007;D2
Buenos Aires;4;2008;NPS
Buenos Aires;4;2009;D0
Buenos Aires;4;2010;D3
Buenos Aires;4;2011;D1
Buenos Aires;4;2012;NPS
Buenos Aires;4;2013;D0
Buenos Aires;4;2014;NPS
Buenos Aires;4;2015;NPS
Buenos Aires;4;2016;D0
Buenos Aires;4;2017;NPS
Buenos Aires;4;2018;NPS
Buenos Aires;4;2019;D1
Buenos Aires;4;2020;D0
Buenos Aires;4;2021;D0
Buenos Aires;5;2003;NPS
Buenos Aires;5;2004;NPS
Buenos Aires;5;2005;D1
Buenos Aires;5;2006;NPS
Buenos Aires;5;2007;D1
Buenos Aires;5;2008;NPS
Buenos Aires;5;2009;NPS
Buenos Aires;5;2010;D2
Buenos Aires;5;2011;NPS
Buenos Aires;5;2012;NPS
Buenos Aires;5;2013;NPS
Buenos Aires;5;2014;NPS
Buenos Aires;5;2015;NPS
Buenos Aires;5;2016;NPS
Buenos Aires;5;2017;NPS
Buenos Aires;5;2018;NPS
Buenos Aires;5;2019;D1
Buenos Aires;5;2020;NPS
Buenos Aires;5;2021;NPS
