Distritos,Sembrada_ha,Cosechada_ha,Ano,Mes,Tipo_sequia,perdida_ha,producto
Frías,22950,5574,2004,5,NPS,17376,maiz
Lagunas,198154,106415,2004,5,NPS,91739,maiz
Montero,1050,1050,2004,5,NPS,0,maiz
Amotape,2,2,2004,6,D1,0,maiz
Colán,4728,2873,2004,6,D0,1855,maiz
Tamarindo,99910,85541,2004,6,NPS,14369,maiz
La Matanza,811,811,2004,6,NPS,0,maiz
Morropón,23566,23566,2004,6,NPS,0,maiz
Salitral,1247,1207,2004,6,NPS,40,maiz
Santa Catalina de Mossa,118,8,2004,6,NPS,110,maiz
Yamango,2550,2509,2004,6,D0,41,maiz
Huancabamba,4920,241,2004,6,NPS,4679,maiz
Canchaque,53854,53709,2004,6,NPS,145,maiz
El Carmen de la Frontera,23127,5608,2004,6,NPS,17519,maiz
Lalaquiz,5988,4385,2004,6,NPS,1603,maiz
San Miguel del Faique,12804,12453,2004,6,NPS,351,maiz
Sondor,7814,7327,2004,6,NPS,487,maiz
Ayabaca,42411,38177,2004,6,D0,4234,maiz
Frías,22950,5779,2004,6,NPS,17171,maiz
Lagunas,198154,147973,2004,6,NPS,50181,maiz
Montero,1050,1050,2004,6,D0,0,maiz
Amotape,2,2,2004,7,D1,0,maiz
Colán,4728,4513,2004,7,NPS,215,maiz
Tamarindo,99910,95256,2004,7,NPS,4654,maiz
La Matanza,811,811,2004,7,NPS,0,maiz
Morropón,23566,23566,2004,7,NPS,0,maiz
Salitral,1247,1207,2004,7,NPS,40,maiz
Santa Catalina de Mossa,118,8,2004,7,NPS,110,maiz
Yamango,2550,2544,2004,7,NPS,6,maiz
Huancabamba,4920,981,2004,7,NPS,3939,maiz
Canchaque,53854,53709,2004,7,NPS,145,maiz
El Carmen de la Frontera,23127,5717,2004,7,NPS,17410,maiz
Lalaquiz,5988,4385,2004,7,D0,1603,maiz
San Miguel del Faique,12804,12453,2004,7,NPS,351,maiz
Sondor,7814,7527,2004,7,NPS,287,maiz
Ayabaca,42411,40167,2004,7,D0,2244,maiz
Frías,22950,19761,2004,7,NPS,3189,maiz
Lagunas,198159,186559,2004,7,NPS,11600,maiz
Montero,1050,1050,2004,7,NPS,0,maiz
Amotape,2,2,2004,8,D1,0,maiz
Colán,4728,4513,2004,8,D0,215,maiz
Tamarindo,99910,98515,2004,8,D0,1395,maiz
La Matanza,811,811,2004,8,NPS,0,maiz
Morropón,23566,23566,2004,8,NPS,0,maiz
Salitral,1247,1247,2004,8,NPS,0,maiz
Santa Catalina de Mossa,118,8,2004,8,NPS,110,maiz
Yamango,2550,2544,2004,8,D0,6,maiz
Huancabamba,4920,1318,2004,8,NPS,3602,maiz
Canchaque,53854,53709,2004,8,NPS,145,maiz
El Carmen de la Frontera,23127,19829,2004,8,NPS,3298,maiz
Lalaquiz,5988,4385,2004,8,D0,1603,maiz
San Miguel del Faique,12804,12453,2004,8,NPS,351,maiz
Sondor,7814,7527,2004,8,NPS,287,maiz
Ayabaca,42411,40282,2004,8,D0,2129,maiz
Frías,22950,22824,2004,8,NPS,126,maiz
Lagunas,198159,189799,2004,8,D0,8360,maiz
Montero,1050,1050,2004,8,NPS,0,maiz
Amotape,2,2,2004,9,D2,0,maiz
Colán,4728,4513,2004,9,D0,215,maiz
Tamarindo,99910,99456,2004,9,D1,454,maiz
La Matanza,811,811,2004,9,NPS,0,maiz
Morropón,23566,23566,2004,9,NPS,0,maiz
Salitral,1247,1247,2004,9,NPS,0,maiz
Santa Catalina de Mossa,118,118,2004,9,NPS,0,maiz
Yamango,2550,2544,2004,9,D0,6,maiz
Huancabamba,4920,4772,2004,9,NPS,148,maiz
Canchaque,53854,53709,2004,9,D1,145,maiz
El Carmen de la Frontera,23127,20419,2004,9,NPS,2708,maiz
Lalaquiz,5988,4385,2004,9,D1,1603,maiz
San Miguel del Faique,12804,12453,2004,9,NPS,351,maiz
Sondor,7814,7527,2004,9,NPS,287,maiz
Ayabaca,42411,40282,2004,9,D1,2129,maiz
Frías,22950,22903,2004,9,NPS,47,maiz
Lagunas,198159,192063,2004,9,D0,6096,maiz
Montero,1050,1050,2004,9,D0,0,maiz
Amotape,2,2,2004,12,NPS,0,maiz
Colán,4728,4513,2004,12,D0,215,maiz
Tamarindo,99910,99456,2004,12,D1,454,maiz
La Matanza,811,811,2004,12,NPS,0,maiz
Morropón,23566,23566,2004,12,NPS,0,maiz
Salitral,1247,1247,2004,12,NPS,0,maiz
Santa Catalina de Mossa,118,118,2004,12,NPS,0,maiz
Yamango,2550,2544,2004,12,NPS,6,maiz
Huancabamba,4920,4772,2004,12,NPS,148,maiz
Canchaque,53854,53709,2004,12,D0,145,maiz
El Carmen de la Frontera,23127,20419,2004,12,NPS,2708,maiz
Lalaquiz,5988,4385,2004,12,D1,1603,maiz
San Miguel del Faique,12804,12453,2004,12,NPS,351,maiz
Sondor,7814,7527,2004,12,NPS,287,maiz
Ayabaca,42411,40282,2004,12,D1,2129,maiz
Frías,22950,22903,2004,12,NPS,47,maiz
Lagunas,198159,192063,2004,12,D0,6096,maiz
Montero,1050,1050,2004,12,NPS,0,maiz
Canchaque,49907,850,2005,1,D0,49057,maiz
Lalaquiz,5021,810,2005,1,D1,4211,maiz
Colán,5854,1146,2005,2,D1,4708,maiz
Tamarindo,91352,30,2005,2,D1,91322,maiz
Yamango,3400,674,2005,2,NPS,2726,maiz
Canchaque,52686,2039,2005,2,D0,50647,maiz
Lalaquiz,5021,1220,2005,2,D1,3801,maiz
Sondor,4536,1755,2005,2,NPS,2781,maiz
Lagunas,170016,1458,2005,2,D1,168558,maiz
Colán,5854,1775,2005,3,D1,4079,maiz
Tamarindo,91352,8618,2005,3,D1,82734,maiz
La Matanza,1483,60,2005,3,NPS,1423,maiz
Salitral,1213,297,2005,3,NPS,916,maiz
Yamango,3400,1474,2005,3,NPS,1926,maiz
Canchaque,52895,19568,2005,3,NPS,33327,maiz
Lalaquiz,5021,1311,2005,3,D1,3710,maiz
San Miguel del Faique,11799,599,2005,3,NPS,11200,maiz
Sondor,4560,2455,2005,3,NPS,2105,maiz
Frías,9254,1360,2005,3,NPS,7894,maiz
Lagunas,173870,28066,2005,3,D1,145804,maiz
Colán,5854,3463,2005,4,D1,2391,maiz
Tamarindo,96434,24251,2005,4,D1,72183,maiz
La Matanza,1483,1315,2005,4,NPS,168,maiz
Morropón,22569,6200,2005,4,NPS,16369,maiz
Salitral,1213,812,2005,4,NPS,401,maiz
Yamango,3400,1926,2005,4,NPS,1474,maiz
Canchaque,52895,41343,2005,4,D0,11552,maiz
Lalaquiz,5021,1311,2005,4,D1,3710,maiz
San Miguel del Faique,11799,2515,2005,4,NPS,9284,maiz
Sondor,4560,4000,2005,4,NPS,560,maiz
Ayabaca,39517,11700,2005,4,D2,27817,maiz
Frías,10748,3980,2005,4,NPS,6768,maiz
Lagunas,182644,58827,2005,4,D1,123817,maiz
Montero,1070,1050,2005,4,D0,20,maiz
Amotape,8,3,2005,5,NPS,5,maiz
Colán,5854,4013,2005,5,D0,1841,maiz
Tamarindo,96434,57355,2005,5,D1,39079,maiz
Vichayal,20,7,2005,5,NPS,13,maiz
La Matanza,1483,1425,2005,5,NPS,58,maiz
Morropón,22569,14248,2005,5,NPS,8321,maiz
Salitral,1213,1111,2005,5,D0,102,maiz
Yamango,3400,2872,2005,5,NPS,528,maiz
Huancabamba,3662,1835,2005,5,NPS,1827,maiz
Canchaque,52896,44010,2005,5,NPS,8886,maiz
El Carmen de la Frontera,34179,1045,2005,5,NPS,33134,maiz
Lalaquiz,5021,4311,2005,5,D1,710,maiz
San Miguel del Faique,11799,7452,2005,5,NPS,4347,maiz
Sondor,4560,4344,2005,5,NPS,216,maiz
Ayabaca,39517,27296,2005,5,D2,12221,maiz
Frías,11221,4125,2005,5,NPS,7096,maiz
Lagunas,182644,99907,2005,5,D1,82737,maiz
Montero,1070,1050,2005,5,D0,20,maiz
Amotape,8,3,2005,6,NPS,5,maiz
Colán,5854,4013,2005,6,NPS,1841,maiz
Tamarindo,96434,77051,2005,6,NPS,19383,maiz
Vichayal,20,7,2005,6,NPS,13,maiz
La Matanza,1483,1433,2005,6,D0,50,maiz
Morropón,22569,20155,2005,6,NPS,2414,maiz
Salitral,1213,1153,2005,6,D0,60,maiz
Yamango,3400,3311,2005,6,NPS,89,maiz
Huancabamba,3662,1685,2005,6,NPS,1977,maiz
Canchaque,52896,52727,2005,6,NPS,169,maiz
El Carmen de la Frontera,34176,3592,2005,6,NPS,30584,maiz
Lalaquiz,5021,4811,2005,6,D0,210,maiz
San Miguel del Faique,11799,9645,2005,6,NPS,2154,maiz
Sondor,4560,4466,2005,6,NPS,94,maiz
Ayabaca,39517,28016,2005,6,D1,11501,maiz
Frías,11221,4245,2005,6,NPS,6976,maiz
Lagunas,182644,135074,2005,6,D0,47570,maiz
Montero,1070,1060,2005,6,NPS,10,maiz
Amotape,8,3,2005,7,NPS,5,maiz
Colán,5854,4013,2005,7,NPS,1841,maiz
Tamarindo,96434,80706,2005,7,NPS,15728,maiz
Vichayal,20,7,2005,7,NPS,13,maiz
La Matanza,1483,1483,2005,7,NPS,0,maiz
Morropón,22569,22569,2005,7,D0,0,maiz
Salitral,1213,1153,2005,7,NPS,60,maiz
Yamango,3400,3311,2005,7,D0,89,maiz
Huancabamba,3662,3324,2005,7,NPS,338,maiz
Canchaque,52896,52862,2005,7,NPS,34,maiz
El Carmen de la Frontera,34176,11298,2005,7,NPS,22878,maiz
Lalaquiz,5021,4811,2005,7,NPS,210,maiz
San Miguel del Faique,11799,9645,2005,7,NPS,2154,maiz
Sondor,4560,4466,2005,7,NPS,94,maiz
Ayabaca,39517,28016,2005,7,D0,11501,maiz
Frías,11221,5148,2005,7,NPS,6073,maiz
Lagunas,182734,151849,2005,7,NPS,30885,maiz
Montero,1070,1070,2005,7,NPS,0,maiz
Amotape,5,3,2005,8,NPS,2,maiz
Colán,5854,4013,2005,8,NPS,1841,maiz
Tamarindo,96434,85914,2005,8,NPS,10520,maiz
Vichayal,20,7,2005,8,NPS,13,maiz
La Matanza,1483,1483,2005,8,NPS,0,maiz
Morropón,22569,22569,2005,8,NPS,0,maiz
Salitral,1213,1213,2005,8,NPS,0,maiz
Yamango,3400,3311,2005,8,NPS,89,maiz
Huancabamba,3662,3332,2005,8,D0,330,maiz
Canchaque,52896,52862,2005,8,NPS,34,maiz
El Carmen de la Frontera,34176,11928,2005,8,NPS,22248,maiz
Lalaquiz,5021,4811,2005,8,D0,210,maiz
San Miguel del Faique,11799,9645,2005,8,NPS,2154,maiz
Sondor,4560,4466,2005,8,NPS,94,maiz
Sondorillo,5,5,2005,8,NPS,0,maiz
Ayabaca,39517,28016,2005,8,NPS,11501,maiz
Frías,11221,5692,2005,8,NPS,5529,maiz
Lagunas,182734,157587,2005,8,NPS,25147,maiz
Montero,1070,1070,2005,8,NPS,0,maiz
Amotape,5,5,2005,9,NPS,0,maiz
Colán,5854,4013,2005,9,NPS,1841,maiz
Tamarindo,96434,92340,2005,9,NPS,4094,maiz
Vichayal,20,7,2005,9,NPS,13,maiz
La Matanza,1483,1483,2005,9,NPS,0,maiz
Morropón,22569,22569,2005,9,NPS,0,maiz
Salitral,1213,1213,2005,9,D0,0,maiz
Yamango,3400,3311,2005,9,D0,89,maiz
Huancabamba,3662,3332,2005,9,D0,330,maiz
Canchaque,52896,52862,2005,9,NPS,34,maiz
El Carmen de la Frontera,34176,12028,2005,9,D0,22148,maiz
Lalaquiz,5021,4811,2005,9,NPS,210,maiz
San Miguel del Faique,11799,9645,2005,9,NPS,2154,maiz
Sondor,4560,4466,2005,9,D0,94,maiz
Sondorillo,5,5,2005,9,NPS,0,maiz
Ayabaca,39517,28016,2005,9,NPS,11501,maiz
Frías,11221,5852,2005,9,D0,5369,maiz
Lagunas,182834,160332,2005,9,NPS,22502,maiz
Montero,1070,1070,2005,9,NPS,0,maiz
Amotape,5,5,2005,12,NPS,0,maiz
Colán,5854,4013,2005,12,D0,1841,maiz
Tamarindo,96434,92340,2005,12,NPS,4094,maiz
Vichayal,20,7,2005,12,D0,13,maiz
La Matanza,1483,1483,2005,12,D0,0,maiz
Morropón,22569,22569,2005,12,D0,0,maiz
Salitral,1213,1213,2005,12,D1,0,maiz
Yamango,3400,3311,2005,12,D0,89,maiz
Huancabamba,3662,3332,2005,12,NPS,330,maiz
Canchaque,52896,52862,2005,12,NPS,34,maiz
El Carmen de la Frontera,34176,12028,2005,12,D0,22148,maiz
Lalaquiz,5021,4811,2005,12,NPS,210,maiz
San Miguel del Faique,11799,9645,2005,12,D0,2154,maiz
Sondor,4560,4466,2005,12,D1,94,maiz
Sondorillo,5,5,2005,12,D0,0,maiz
Ayabaca,39517,28016,2005,12,NPS,11501,maiz
Frías,11221,5852,2005,12,D0,5369,maiz
Lagunas,182834,160332,2005,12,NPS,22502,maiz
Montero,1070,1070,2005,12,NPS,0,maiz
Canchaque,40148,501,2006,1,D0,39647,maiz
Sondor,4403,1500,2006,1,D1,2903,maiz
Lagunas,154604,20,2006,1,NPS,154584,maiz
Colán,3160,220,2006,2,NPS,2940,maiz
Tamarindo,96402,5260,2006,2,NPS,91142,maiz
Yamango,2195,245,2006,2,D1,1950,maiz
Canchaque,45690,20627,2006,2,D0,25063,maiz
Lalaquiz,4533,3189,2006,2,NPS,1344,maiz
Sondor,4442,368,2006,2,D3,4074,maiz
Lagunas,180805,1340,2006,2,NPS,179465,maiz
Colán,3160,220,2006,3,NPS,2940,maiz
Tamarindo,96682,15958,2006,3,NPS,80724,maiz
Morropón,21875,1564,2006,3,D1,20311,maiz
Salitral,1264,200,2006,3,D2,1064,maiz
Yamango,2244,290,2006,3,D2,1954,maiz
Canchaque,45866,23916,2006,3,NPS,21950,maiz
Lalaquiz,4533,3432,2006,3,NPS,1101,maiz
San Miguel del Faique,11271,1128,2006,3,D0,10143,maiz
Sondor,4442,368,2006,3,D4,4074,maiz
Ayabaca,35007,390,2006,3,NPS,34617,maiz
Lagunas,181711,21654,2006,3,NPS,160057,maiz
Colán,4950,4575,2006,4,NPS,375,maiz
Tamarindo,96682,41082,2006,4,NPS,55600,maiz
La Matanza,1445,1427,2006,4,D1,18,maiz
Morropón,21875,11962,2006,4,D1,9913,maiz
Salitral,1234,450,2006,4,D2,784,maiz
Yamango,2244,916,2006,4,D2,1328,maiz
Canchaque,45866,25802,2006,4,NPS,20064,maiz
Lalaquiz,4533,3432,2006,4,D0,1101,maiz
San Miguel del Faique,11271,6320,2006,4,D0,4951,maiz
Sondor,4442,368,2006,4,D4,4074,maiz
Ayabaca,39687,19910,2006,4,NPS,19777,maiz
Frías,7954,2629,2006,4,D0,5325,maiz
Lagunas,183452,53954,2006,4,NPS,129498,maiz
Montero,768,753,2006,4,D0,15,maiz
Colán,4950,4905,2006,5,NPS,45,maiz
Tamarindo,96682,68552,2006,5,NPS,28130,maiz
La Matanza,1445,1445,2006,5,NPS,0,maiz
Morropón,21875,19970,2006,5,D0,1905,maiz
Salitral,1234,1025,2006,5,D2,209,maiz
Yamango,2256,1720,2006,5,D2,536,maiz
Canchaque,45866,32500,2006,5,NPS,13366,maiz
El Carmen de la Frontera,45117,1045,2006,5,D0,44072,maiz
Lalaquiz,4533,3432,2006,5,NPS,1101,maiz
San Miguel del Faique,11271,10508,2006,5,NPS,763,maiz
Sondor,4442,3256,2006,5,D4,1186,maiz
Ayabaca,39687,35296,2006,5,NPS,4391,maiz
Frías,7954,5289,2006,5,NPS,2665,maiz
Lagunas,183452,101016,2006,5,NPS,82436,maiz
Montero,768,753,2006,5,NPS,15,maiz
Colán,4950,4905,2006,6,NPS,45,maiz
Tamarindo,96682,90046,2006,6,NPS,6636,maiz
La Matanza,1445,1445,2006,6,NPS,0,maiz
Morropón,21875,21465,2006,6,D0,410,maiz
Salitral,1234,1025,2006,6,D2,209,maiz
Yamango,2256,2252,2006,6,D3,4,maiz
Huancabamba,2047,40,2006,6,D1,2007,maiz
Canchaque,45866,44864,2006,6,NPS,1002,maiz
El Carmen de la Frontera,45117,5382,2006,6,D0,39735,maiz
Huarmaca,20,20,2006,6,D1,0,maiz
Lalaquiz,4533,4533,2006,6,D0,0,maiz
San Miguel del Faique,11271,10508,2006,6,D0,763,maiz
Sondor,4342,3386,2006,6,D4,956,maiz
Ayabaca,39687,38077,2006,6,NPS,1610,maiz
Frías,7954,5620,2006,6,D0,2334,maiz
Lagunas,184929,147173,2006,6,NPS,37756,maiz
Montero,768,753,2006,6,NPS,15,maiz
Colán,4950,4905,2006,7,NPS,45,maiz
Tamarindo,96682,93406,2006,7,NPS,3276,maiz
La Matanza,1445,1445,2006,7,NPS,0,maiz
Morropón,21875,21875,2006,7,D0,0,maiz
Salitral,1234,1037,2006,7,D1,197,maiz
Yamango,2256,2252,2006,7,D2,4,maiz
Huancabamba,2047,1410,2006,7,D1,637,maiz
Canchaque,45866,45149,2006,7,NPS,717,maiz
El Carmen de la Frontera,45117,12827,2006,7,D0,32290,maiz
Huarmaca,20,20,2006,7,D0,0,maiz
Lalaquiz,4533,4533,2006,7,NPS,0,maiz
San Miguel del Faique,11271,10508,2006,7,D0,763,maiz
Sondor,4342,3464,2006,7,D3,878,maiz
Ayabaca,39687,38427,2006,7,NPS,1260,maiz
Frías,7954,6207,2006,7,D0,1747,maiz
Lagunas,184929,174683,2006,7,NPS,10246,maiz
Montero,768,753,2006,7,D0,15,maiz
Colán,4950,4905,2006,8,NPS,45,maiz
Tamarindo,96682,95306,2006,8,NPS,1376,maiz
La Matanza,1445,1445,2006,8,NPS,0,maiz
Morropón,21875,21875,2006,8,NPS,0,maiz
Salitral,1234,1234,2006,8,D0,0,maiz
Yamango,2256,2252,2006,8,D1,4,maiz
Huancabamba,2047,1422,2006,8,D3,625,maiz
Canchaque,45866,45149,2006,8,NPS,717,maiz
El Carmen de la Frontera,45117,23472,2006,8,D0,21645,maiz
Huarmaca,20,20,2006,8,NPS,0,maiz
Lalaquiz,4533,4533,2006,8,NPS,0,maiz
San Miguel del Faique,11271,10508,2006,8,NPS,763,maiz
Sondor,4342,3464,2006,8,D1,878,maiz
Ayabaca,39687,38427,2006,8,NPS,1260,maiz
Frías,7954,6292,2006,8,D0,1662,maiz
Lagunas,184929,177463,2006,8,D1,7466,maiz
Montero,768,753,2006,8,NPS,15,maiz
Colán,4950,4905,2006,9,D0,45,maiz
Tamarindo,96682,95306,2006,9,D0,1376,maiz
La Matanza,1445,1445,2006,9,NPS,0,maiz
Morropón,21875,21875,2006,9,NPS,0,maiz
Salitral,1234,1234,2006,9,D0,0,maiz
Yamango,2256,2252,2006,9,D1,4,maiz
Huancabamba,2047,1422,2006,9,NPS,625,maiz
Canchaque,45866,45149,2006,9,NPS,717,maiz
El Carmen de la Frontera,33977,27707,2006,9,NPS,6270,maiz
Huarmaca,20,20,2006,9,NPS,0,maiz
Lalaquiz,4533,4533,2006,9,NPS,0,maiz
San Miguel del Faique,11271,10508,2006,9,NPS,763,maiz
Sondor,4342,3464,2006,9,NPS,878,maiz
Sondorillo,4,4,2006,9,NPS,0,maiz
Ayabaca,39687,38427,2006,9,D0,1260,maiz
Frías,7954,6292,2006,9,D0,1662,maiz
Lagunas,184929,177463,2006,9,NPS,7466,maiz
Montero,768,753,2006,9,D0,15,maiz
Colán,4950,4905,2006,12,NPS,45,maiz
Tamarindo,96682,95306,2006,12,NPS,1376,maiz
La Matanza,1445,1445,2006,12,NPS,0,maiz
Morropón,21875,21875,2006,12,NPS,0,maiz
Salitral,1234,1234,2006,12,NPS,0,maiz
Yamango,2256,2252,2006,12,D0,4,maiz
Huancabamba,2047,1422,2006,12,NPS,625,maiz
Canchaque,45866,45149,2006,12,NPS,717,maiz
El Carmen de la Frontera,33977,27707,2006,12,NPS,6270,maiz
Huarmaca,20,20,2006,12,NPS,0,maiz
Lalaquiz,4533,4533,2006,12,NPS,0,maiz
San Miguel del Faique,11271,10508,2006,12,NPS,763,maiz
Sondor,4342,3464,2006,12,NPS,878,maiz
Sondorillo,4,4,2006,12,D0,0,maiz
Ayabaca,39687,38427,2006,12,NPS,1260,maiz
Frías,7954,6292,2006,12,NPS,1662,maiz
Lagunas,184929,177463,2006,12,NPS,7466,maiz
Montero,768,753,2006,12,NPS,15,maiz
Lalaquiz,3321,1634,2007,1,D0,1687,maiz
Tamarindo,100898,1624,2007,2,NPS,99274,maiz
Yamango,2251,55,2007,2,D1,2196,maiz
Canchaque,56082,26150,2007,2,NPS,29932,maiz
Lalaquiz,3332,3064,2007,2,D1,268,maiz
Sondor,4569,1437,2007,2,D0,3132,maiz
Frías,6605,570,2007,2,NPS,6035,maiz
Lagunas,173612,371,2007,2,NPS,173241,maiz
Colán,2922,910,2007,3,NPS,2012,maiz
Tamarindo,100898,18568,2007,3,D0,82330,maiz
La Matanza,1542,596,2007,3,D1,946,maiz
Yamango,2251,55,2007,3,D1,2196,maiz
Canchaque,56082,30289,2007,3,NPS,25793,maiz
Lalaquiz,3332,3068,2007,3,NPS,264,maiz
Sondor,4628,1437,2007,3,D1,3191,maiz
Ayabaca,37972,8348,2007,3,NPS,29624,maiz
Frías,6915,3200,2007,3,NPS,3715,maiz
Lagunas,176053,18096,2007,3,NPS,157957,maiz
Montero,540,300,2007,3,NPS,240,maiz
Colán,3062,1860,2007,4,D0,1202,maiz
Tamarindo,100898,32472,2007,4,D2,68426,maiz
La Matanza,1542,1453,2007,4,NPS,89,maiz
Morropón,22505,13694,2007,4,NPS,8811,maiz
Salitral,1168,588,2007,4,D2,580,maiz
Yamango,2251,694,2007,4,D2,1557,maiz
Canchaque,46518,39575,2007,4,D0,6943,maiz
Lalaquiz,3332,3068,2007,4,D2,264,maiz
Sondor,11328,8442,2007,4,D3,2886,maiz
Ayabaca,39152,19810,2007,4,D0,19342,maiz
Frías,7115,5699,2007,4,NPS,1416,maiz
Lagunas,170505,44471,2007,4,NPS,126034,maiz
Montero,540,520,2007,4,D1,20,maiz
Colán,4662,4277,2007,5,D0,385,maiz
Tamarindo,100730,72512,2007,5,D1,28218,maiz
Vichayal,25,11,2007,5,NPS,14,maiz
La Matanza,1542,1542,2007,5,NPS,0,maiz
Morropón,22505,22243,2007,5,NPS,262,maiz
Salitral,1168,1134,2007,5,D1,34,maiz
Santa Catalina de Mossa,625,130,2007,5,NPS,495,maiz
Yamango,2251,1936,2007,5,D1,315,maiz
Canchaque,49253,47249,2007,5,NPS,2004,maiz
El Carmen de la Frontera,24591,1100,2007,5,NPS,23491,maiz
Huarmaca,15,15,2007,5,NPS,0,maiz
Lalaquiz,3332,3068,2007,5,D2,264,maiz
San Miguel del Faique,10562,6107,2007,5,NPS,4455,maiz
Sondor,11328,9743,2007,5,D1,1585,maiz
Ayabaca,39152,30225,2007,5,D1,8927,maiz
Frías,7315,6300,2007,5,NPS,1015,maiz
Lagunas,170905,106502,2007,5,NPS,64403,maiz
Montero,540,529,2007,5,D2,11,maiz
Colán,5062,4977,2007,6,D1,85,maiz
Tamarindo,100730,96354,2007,6,D1,4376,maiz
Vichayal,25,19,2007,6,NPS,6,maiz
La Matanza,1542,1542,2007,6,D0,0,maiz
Morropón,22505,22363,2007,6,NPS,142,maiz
Salitral,1168,1168,2007,6,D3,0,maiz
Santa Catalina de Mossa,625,300,2007,6,D1,325,maiz
Yamango,2251,2163,2007,6,D1,88,maiz
Huancabamba,3869,164,2007,6,NPS,3705,maiz
Canchaque,49253,49064,2007,6,D0,189,maiz
El Carmen de la Frontera,24591,16429,2007,6,D0,8162,maiz
Huarmaca,15,15,2007,6,NPS,0,maiz
Lalaquiz,3332,3068,2007,6,D2,264,maiz
San Miguel del Faique,10562,10446,2007,6,NPS,116,maiz
Sondor,11328,9743,2007,6,D1,1585,maiz
Ayabaca,39152,35382,2007,6,D2,3770,maiz
Frías,7315,6310,2007,6,NPS,1005,maiz
Lagunas,170905,154518,2007,6,D0,16387,maiz
Montero,540,529,2007,6,D1,11,maiz
Colán,5062,4977,2007,7,D2,85,maiz
Tamarindo,100730,100700,2007,7,NPS,30,maiz
Vichayal,25,19,2007,7,D0,6,maiz
La Matanza,1542,1542,2007,7,NPS,0,maiz
Morropón,22505,22500,2007,7,NPS,5,maiz
Salitral,1168,1168,2007,7,D1,0,maiz
Santa Catalina de Mossa,625,300,2007,7,D3,325,maiz
Yamango,2251,2246,2007,7,D1,5,maiz
Huancabamba,3809,1584,2007,7,NPS,2225,maiz
Canchaque,49253,49064,2007,7,NPS,189,maiz
El Carmen de la Frontera,24591,23787,2007,7,D1,804,maiz
Huarmaca,15,15,2007,7,NPS,0,maiz
Lalaquiz,3332,3068,2007,7,D0,264,maiz
San Miguel del Faique,10562,10446,2007,7,NPS,116,maiz
Sondor,11328,11213,2007,7,D2,115,maiz
Ayabaca,39152,35382,2007,7,D3,3770,maiz
Frías,7315,6882,2007,7,NPS,433,maiz
Lagunas,170957,168620,2007,7,D1,2337,maiz
Montero,540,540,2007,7,D0,0,maiz
Colán,5062,4977,2007,8,NPS,85,maiz
Tamarindo,100730,100700,2007,8,NPS,30,maiz
